#{"t_start": 1745738187.6314151, "env_id": "None"}
r,l,t
-402927.0,614,16.806666
-379152.0,647,35.153223
-353639.0,652,51.077552
-399680.0,619,72.949275
-390975.0,623,93.83129
-360536.0,619,148.983607
-339453.0,651,170.203054
-417723.0,636,186.585867
-356606.0,647,202.914376
-390341.0,612,223.297746
-365043.0,636,239.53577
-341841.0,619,296.899889
-360304.0,602,312.630471
-322450.0,640,334.072875
-361062.0,664,351.16155
-416009.0,639,367.029294
-374610.0,642,388.364892
-421696.0,645,448.892244
-366321.0,637,465.039289
-345506.0,616,485.267848
-352155.0,604,500.482141
-368577.0,643,517.974319
-360225.0,631,538.598619
-336013.0,612,596.141696
-355254.0,658,618.211786
-371731.0,634,643.085408
-405763.0,632,661.727577
-354493.0,608,679.62409
-378367.0,618,697.886238
-382928.0,621,774.207993
-364366.0,628,793.894604
-318241.0,620,813.92937
-366843.0,620,838.616948
-354461.0,617,857.98124
-375670.0,627,877.4839
-388611.0,632,944.495601
-403167.0,639,961.963155
-343211.0,644,979.147589
-353308.0,600,996.62391
-405595.0,642,1019.377988
-329652.0,634,1036.910245
-352411.0,655,1102.388702
-357123.0,644,1125.598308
-335247.0,634,1143.939099
-367940.0,638,1162.253976
-392224.0,640,1186.732829
-352983.0,617,1204.266983
-415598.0,615,1267.796448
-289174.0,648,1291.066897
-327388.0,638,1308.313643
-367482.0,625,1324.989416
-380639.0,674,1349.063083
-391687.0,615,1367.565859
-363134.0,608,1432.822287
-374424.0,611,1450.350079
-371427.0,625,1474.055619
-358093.0,625,1491.078942
-349386.0,656,1508.668745
-394914.0,643,1531.973123
-386897.0,606,1596.105742
-398748.0,652,1613.850742
-387793.0,625,1638.972035
-366512.0,604,1658.004719
-401189.0,635,1676.851981
-353053.0,613,1700.422062
-373343.0,625,1832.687629
-369314.0,607,1851.32072
-386895.0,620,1870.582285
-357144.0,634,1895.572336
-335932.0,625,1945.313595
-389189.0,633,1963.913398
-363364.0,631,2038.144365
-419595.0,661,2058.148363
-366919.0,618,2076.573533
-421487.0,657,2101.050952
-406024.0,619,2119.882083
-340689.0,642,2139.014602
-418352.0,622,2213.218349
-346622.0,614,2231.559652
-369509.0,619,2250.392644
-375894.0,646,2269.780304
-380250.0,618,2293.986285
-374415.0,642,2313.531371
-365127.0,631,2442.554971
-372639.0,606,2465.709327
-388789.0,652,2486.181676
-394374.0,613,2505.260108
-344682.0,635,2531.346539
-357463.0,635,2552.779745
-371753.0,606,2621.780554
-340124.0,654,2642.571954
-378565.0,609,2666.606368
-370436.0,631,2684.655076
-343568.0,639,2704.208431
-406168.0,667,2729.399314
-338453.0,653,2832.498784
-345574.0,624,2851.038479
-375134.0,619,2875.505424
-356895.0,626,2895.623296
-362522.0,625,2914.82796
-358474.0,617,2940.325574
-349171.0,655,3008.967128
-393993.0,603,3027.884289
-362495.0,635,3052.855364
-422293.0,672,3073.489731
-367217.0,650,3092.77892
-341135.0,659,3158.801139
-346353.0,621,3183.252143
-358013.0,620,3204.918577
-412830.0,626,3224.954536
-349016.0,624,3249.510031
-359116.0,628,3268.637976
-376194.0,649,3336.492049
-380816.0,643,3359.335217
-379463.0,631,3377.781124
-373873.0,636,3397.456611
-347633.0,620,3421.344314
-351540.0,603,3439.619305
-373389.0,628,3506.217461
-368917.0,661,3525.423447
