#{"t_start": 1745738191.1162455, "env_id": "None"}
r,l,t
-602150.0,691,114.373292
-634607.0,692,121.670225
-673818.0,705,129.205625
-700285.0,709,137.1325
-607548.0,718,144.383711
-597891.0,718,258.849535
-626190.0,708,267.286508
-631363.0,705,275.572575
-651313.0,705,283.477407
-669882.0,708,291.265964
-693491.0,718,406.92162
-665446.0,718,415.905758
-725698.0,687,424.923203
-676105.0,706,433.069479
-665286.0,718,440.644754
-599453.0,718,554.978574
-600563.0,705,563.146914
-649186.0,708,571.863955
-661448.0,689,580.17432
-631058.0,704,587.492078
-647254.0,704,723.004112
-658189.0,704,732.888604
-612251.0,708,742.530308
-635398.0,676,753.611992
-666441.0,709,763.944149
-646908.0,718,895.080778
-663822.0,689,904.130829
-614196.0,678,913.012724
-625810.0,677,921.757249
-611459.0,718,931.024176
-651137.0,703,1054.356172
-690875.0,706,1063.528399
-683140.0,718,1072.590751
-674116.0,706,1082.39745
-689615.0,705,1091.874648
-654804.0,691,1219.103699
-638862.0,718,1228.659285
-649892.0,709,1238.232367
-624699.0,692,1247.126606
-629040.0,704,1255.644722
-695334.0,689,1381.744852
-698547.0,688,1392.056395
-696908.0,675,1401.067572
-714950.0,706,1410.753254
-682798.0,718,1420.071385
-357259.0,649,1545.107913
-322114.0,645,1554.308875
-259118.0,650,1564.270723
-294889.0,645,1573.453036
-274518.0,656,1582.190454
-698312.0,718,1717.75047
-658042.0,706,1758.596443
-685358.0,718,1798.380935
-701894.0,703,1808.288546
-708567.0,701,1817.818442
-242066.0,616,1978.349315
-266795.0,621,1988.273172
-266354.0,633,1997.775685
-243052.0,625,2007.359406
-284341.0,638,2017.708182
-719044.0,704,2151.87768
-658334.0,691,2161.94659
-679146.0,702,2171.330137
-709433.0,690,2181.063082
-706365.0,688,2191.478515
-227871.0,626,2380.587843
-254047.0,631,2393.994706
-256384.0,611,2406.896291
-248116.0,626,2417.405066
-252687.0,645,2426.238528
-639226.0,718,2564.614038
-662150.0,704,2574.331358
-619502.0,704,2584.626288
-700463.0,718,2594.274589
-661983.0,709,2603.708373
-699633.0,701,2776.02112
-689493.0,718,2784.857327
-699087.0,687,2794.715071
-689003.0,704,2803.809611
-682199.0,705,2812.825678
-667300.0,689,2950.442742
-635187.0,706,2959.848362
-588022.0,678,2968.819336
-638528.0,705,2978.163353
-639855.0,718,2988.7683
-662995.0,703,3117.613868
-664070.0,705,3126.867687
-626339.0,718,3135.834633
-591509.0,718,3144.650684
-664167.0,718,3154.222368
-683795.0,688,3293.825127
-683254.0,687,3303.283872
-695079.0,718,3312.828124
-683321.0,718,3322.077249
-687880.0,703,3331.358199
-244873.0,619,3462.797266
-288371.0,650,3472.501047
-258292.0,634,3481.865049
-250248.0,641,3491.448757
-271793.0,638,3501.036085
