#{"t_start": 1745738187.6294086, "env_id": "None"}
r,l,t
-398584.0,633,18.25117
-400527.0,618,34.427825
-388416.0,609,49.273921
-374414.0,603,69.875874
-348657.0,614,91.422588
-393677.0,623,108.258202
-368867.0,657,168.624416
-384362.0,623,184.881
-338782.0,643,201.069756
-429408.0,636,221.64792
-412794.0,622,237.499226
-347477.0,616,253.580342
-376964.0,648,311.386352
-394173.0,627,332.595739
-318317.0,608,348.635972
-375902.0,655,365.207765
-374098.0,607,384.878075
-418997.0,605,400.72235
-378349.0,628,459.952202
-358743.0,623,480.375914
-399131.0,620,496.430922
-376254.0,650,513.566064
-363286.0,607,533.566473
-348804.0,630,591.730079
-348433.0,605,610.991458
-348173.0,659,632.228328
-354610.0,616,655.519819
-350166.0,616,673.542467
-398012.0,632,692.36906
-373676.0,620,768.152941
-331927.0,653,788.740008
-373106.0,659,809.685317
-346506.0,645,835.784906
-356098.0,631,855.528863
-376749.0,634,875.369705
-319509.0,623,941.77428
-346693.0,623,958.840094
-354712.0,618,975.574235
-388978.0,637,993.468899
-342142.0,609,1015.733239
-340635.0,632,1033.281844
-329058.0,643,1098.649697
-352870.0,643,1121.659147
-344667.0,622,1139.338473
-404436.0,619,1157.131858
-374519.0,624,1181.474623
-395679.0,640,1199.227919
-444753.0,634,1263.343781
-384534.0,629,1286.32306
-353095.0,617,1303.429241
-373764.0,661,1321.364476
-307470.0,617,1338.084805
-346255.0,615,1361.459032
-416288.0,648,1428.748328
-349952.0,598,1445.371027
-363164.0,635,1469.067718
-338834.0,626,1486.733872
-357193.0,623,1503.678981
-326050.0,625,1525.51964
-374696.0,654,1591.435637
-404407.0,617,1608.724437
-333145.0,635,1632.888078
-380581.0,619,1652.452519
-322902.0,637,1671.338782
-380229.0,628,1690.459086
-379120.0,644,1828.379518
-352675.0,622,1847.148582
-365014.0,609,1866.112136
-379790.0,633,1891.3583
-367539.0,649,1941.789729
-368649.0,617,1960.094464
-424391.0,612,2033.588266
-370066.0,620,2052.563471
-394339.0,616,2070.76472
-474026.0,627,2089.610553
-339061.0,616,2113.356326
-341662.0,603,2131.483902
-379684.0,637,2200.664733
-365468.0,647,2225.356848
-390347.0,614,2243.872193
-369703.0,646,2263.3529
-376851.0,664,2288.752503
-370252.0,616,2307.62389
-383830.0,606,2436.42033
-401482.0,606,2458.602215
-397303.0,607,2478.404986
-307738.0,633,2497.891871
-355706.0,608,2516.871233
-365241.0,617,2543.03961
-325496.0,628,2613.095041
-350555.0,667,2634.935795
-370690.0,630,2659.145186
-352139.0,624,2678.060236
-370323.0,643,2696.611274
-381036.0,619,2721.051749
-349429.0,623,2823.183217
-358960.0,657,2842.384911
-374153.0,615,2866.530954
-373542.0,610,2885.933543
-364328.0,631,2906.002616
-371766.0,611,2925.144558
-352364.0,622,2999.294367
-363159.0,615,3018.158947
-340141.0,633,3037.717336
-367976.0,628,3062.208233
-346220.0,610,3080.687895
-312860.0,616,3099.367743
-359113.0,611,3169.328072
-352436.0,622,3188.483695
-405271.0,651,3211.412156
-370729.0,651,3231.68186
-367580.0,658,3257.044036
-352886.0,620,3276.181644
-337009.0,632,3342.973138
-360634.0,637,3365.809833
-365987.0,610,3384.10441
-393345.0,607,3402.971495
-376848.0,653,3427.363271
-381171.0,642,3446.81996
-334364.0,635,3513.514657
