#{"t_start": 1745738187.6294086, "env_id": "None"}
r,l,t
-406153.0,659,19.218479
-411511.0,617,35.950293
-361026.0,638,51.70248
-379971.0,614,72.205212
-398893.0,656,95.049826
-345857.0,629,150.334538
-377106.0,621,170.979221
-359059.0,640,187.402783
-368383.0,660,204.01415
-347636.0,648,225.019605
-340220.0,639,241.35053
-377203.0,628,298.909537
-360031.0,629,319.756748
-337489.0,602,335.922061
-338983.0,619,352.068008
-374605.0,649,368.14032
-380213.0,618,389.046602
-387774.0,620,447.8962
-403262.0,631,463.990277
-379998.0,620,484.281292
-390211.0,639,501.313057
-363382.0,602,516.910702
-351116.0,642,537.647666
-357606.0,629,595.510046
-376025.0,626,616.835036
-392555.0,640,641.887759
-420901.0,613,660.162147
-356472.0,613,678.145406
-376994.0,617,696.426048
-356996.0,612,771.876147
-373546.0,639,792.341638
-349379.0,640,812.800268
-411569.0,652,839.54702
-335588.0,627,859.045296
-379632.0,605,877.486908
-355653.0,609,943.571264
-393536.0,639,960.925236
-345605.0,610,977.586356
-375913.0,642,995.781701
-359957.0,628,1018.145538
-346166.0,642,1035.878887
-387146.0,623,1100.179809
-367804.0,638,1123.293759
-425000.0,616,1141.162532
-344186.0,603,1158.760683
-377553.0,654,1183.52753
-367981.0,616,1200.966754
-402391.0,654,1265.403024
-351932.0,629,1288.140322
-364823.0,658,1306.018914
-364375.0,636,1323.507693
-344485.0,610,1340.513029
-381128.0,614,1364.117636
-384685.0,675,1431.46259
-381230.0,609,1448.777075
-370926.0,638,1472.82303
-331807.0,626,1489.853908
-363861.0,675,1507.798479
-358199.0,638,1530.322381
-367691.0,620,1595.390751
-321453.0,606,1612.324988
-374218.0,626,1637.143147
-382256.0,637,1656.971555
-401426.0,611,1675.377156
-391244.0,629,1694.129408
-367079.0,618,1831.263001
-330887.0,618,1850.180611
-351308.0,614,1869.216625
-376532.0,628,1894.162585
-356886.0,625,1943.909037
-383083.0,616,1962.148858
-373277.0,623,2036.064044
-393791.0,628,2055.332222
-356802.0,620,2073.776788
-381272.0,628,2097.921805
-361208.0,636,2116.932142
-393919.0,619,2135.638793
-387798.0,628,2204.332164
-426087.0,666,2229.459388
-390220.0,640,2248.739887
-381863.0,612,2267.35767
-385093.0,652,2292.354775
-423361.0,636,2311.696118
-350192.0,608,2440.400596
-323256.0,620,2463.523975
-379078.0,607,2483.010018
-382677.0,627,2502.518189
-353987.0,634,2528.595057
-428237.0,620,2548.922331
-327293.0,614,2618.695479
-366732.0,622,2638.51229
-400528.0,620,2662.490793
-370865.0,604,2680.7855
-333314.0,647,2699.582571
-468554.0,628,2724.216395
-381975.0,637,2826.758441
-431801.0,619,2844.88768
-369337.0,617,2869.087108
-333990.0,607,2888.583438
-454217.0,673,2909.679541
-367948.0,618,2929.256361
-390161.0,625,3003.304275
-403848.0,629,3022.634548
-352325.0,621,3041.924327
-372580.0,634,3066.442457
-392423.0,615,3084.762871
-375754.0,609,3103.265328
-414236.0,620,3173.404885
-398230.0,641,3193.041572
-364465.0,597,3214.759874
-323902.0,642,3239.974726
-377494.0,625,3259.263206
-408623.0,619,3278.393489
-383112.0,642,3345.03613
-389921.0,639,3368.170267
-338878.0,656,3387.671632
-376547.0,618,3406.939491
-364447.0,615,3430.255523
-363229.0,633,3449.326188
-419772.0,622,3515.821207
