#{"t_start": 1744969091.840108, "env_id": "None"}
r,l,t
-59125.0,718,7.904095
-58714.0,718,12.255301
-51590.0,718,19.936508
-51585.0,718,36.472625
-46242.0,718,40.192991
-50093.0,718,47.354011
-55857.0,718,64.056661
-54555.0,718,67.753307
-60565.0,718,74.966146
-48982.0,718,78.686897
-58557.0,718,95.297789
-48926.0,718,102.386678
-50207.0,718,107.114243
-62225.0,718,126.160331
-43933.0,718,135.786085
-45358.0,718,140.401078
-52090.0,718,144.645759
-53098.0,718,166.880948
-49418.0,718,170.993621
-58756.0,718,178.856902
-50657.0,718,197.510171
-52818.0,718,201.924273
-56320.0,718,210.703689
-50169.0,718,215.187371
-39351.0,718,234.577803
-55137.0,718,243.27679
-57124.0,718,247.941131
-45666.0,718,266.19629
-54378.0,718,274.230578
-45112.0,718,278.142589
-48236.0,718,282.43301
-45281.0,718,306.412369
-42250.0,718,310.333628
-51632.0,718,314.329156
-47467.0,718,335.525237
-54218.0,718,339.358076
-48537.0,718,343.155233
