#{"t_start": 1744969091.84429, "env_id": "None"}
r,l,t
-44060.0,718,7.899913
-62536.0,718,12.251119
-52103.0,718,19.932326
-60321.0,718,36.468443
-54244.0,718,40.188808
-57045.0,718,47.349829
-63579.0,718,64.052479
-49232.0,718,67.749125
-48950.0,718,74.961964
-52741.0,718,78.682715
-49193.0,718,95.293607
-50382.0,718,102.382496
-58233.0,718,107.110061
-54627.0,718,126.156149
-44857.0,718,135.781903
-47352.0,718,140.396896
-48843.0,718,144.641577
-43431.0,718,166.876766
-43609.0,718,170.989439
-47336.0,718,178.85272
-58161.0,718,197.505989
-61150.0,718,201.92009
-56917.0,718,210.699507
-50421.0,718,215.183189
-49136.0,718,234.573621
-50965.0,718,243.272608
-41253.0,718,247.936949
-60793.0,718,266.192108
-47881.0,718,274.226396
-44118.0,718,278.138407
-56988.0,718,282.428828
-47494.0,718,306.408187
-51411.0,718,310.329446
-52225.0,718,314.324974
-49190.0,718,335.521055
-50275.0,718,339.353894
-50261.0,718,343.151051
