#{"t_start": 1744969091.840108, "env_id": "None"}
r,l,t
-51351.0,718,7.904095
-48642.0,718,12.255301
-75854.0,718,19.936508
-49810.0,718,36.472625
-58097.0,718,40.192991
-53894.0,718,47.354011
-52043.0,718,64.056661
-56564.0,718,67.753307
-49733.0,718,74.966146
-54354.0,718,78.686897
-57883.0,718,95.297789
-51171.0,718,102.386678
-56148.0,718,107.114243
-47625.0,718,126.160331
-49981.0,718,135.786085
-50276.0,718,140.401078
-46542.0,718,144.645759
-42253.0,718,166.880948
-56068.0,718,170.993621
-51202.0,718,178.856902
-45896.0,718,197.510171
-47248.0,718,201.924273
-52542.0,718,210.702664
-43210.0,718,215.187371
-49996.0,718,234.577803
-46669.0,718,243.27679
-47825.0,718,247.941131
-48275.0,718,266.19629
-44526.0,718,274.230578
-49958.0,718,278.142589
-46621.0,718,282.43301
-50333.0,718,306.412369
-46224.0,718,310.333628
-47688.0,718,314.329156
-53902.0,718,335.525237
-40526.0,718,339.358076
-43747.0,718,343.155233
