#{"t_start": 1744985870.2549953, "env_id": "None"}
r,l,t
-3261.0,720,19.352657
-3083.0,720,21.751188
-3045.0,720,24.1232
-3147.0,720,26.583291
-3116.0,720,29.627168
-3121.0,720,48.641591
-3217.0,720,51.025206
-3037.0,720,53.384867
-3250.0,720,55.851623
-3238.0,720,58.243253
-3163.0,720,76.900803
-3255.0,720,79.1794
-3057.0,720,81.400633
-3309.0,720,83.587409
-3424.0,720,85.770909
-3150.0,720,103.401576
-3241.0,720,105.588132
-3094.0,720,107.788798
-3105.0,720,110.080285
-3042.0,720,112.263411
-3177.0,720,134.245409
-3218.0,720,136.434069
-3081.0,720,138.602793
-3216.0,720,140.903443
-3179.0,720,143.087577
-3107.0,720,160.726426
-3280.0,720,162.969862
-3339.0,720,165.139606
-3097.0,720,167.30463
-3098.0,720,169.516306
-3332.0,720,188.038514
-3260.0,720,190.239465
-3135.0,720,192.422705
-3093.0,720,194.634008
-3091.0,720,196.838586
-3111.0,720,214.713798
-3158.0,720,216.986196
-3212.0,720,219.199473
-3175.0,720,221.397041
-3106.0,720,223.586203
-3231.0,720,242.152524
-3204.0,720,244.339209
-2923.0,720,246.594431
-3120.0,720,248.764569
-3355.0,720,250.975404
-3224.0,720,272.093096
-3293.0,720,274.281469
-3350.0,720,276.509417
-3266.0,720,278.69095
-3213.0,720,280.870927
