#{"t_start": 1744985867.4131072, "env_id": "None"}
r,l,t
-6624.0,720,6.625656
-6936.0,720,10.294712
-8493.0,720,17.394955
-4327.0,720,34.489849
-6215.0,720,38.405111
-6094.0,720,45.751872
-5542.0,720,61.834601
-4531.0,720,65.277375
-4950.0,720,72.12312
-4242.0,720,75.51196
-3949.0,720,90.623719
-4325.0,720,97.501436
-3669.0,720,100.885382
-3300.0,720,115.983738
-3628.0,720,122.762904
-3894.0,720,126.205343
-3569.0,720,129.581107
-3894.0,720,148.142189
-3415.0,720,151.499043
-3761.0,720,158.379384
-3216.0,720,173.340206
-3745.0,720,176.775426
-3205.0,720,183.608336
-4140.0,720,187.058948
-3239.0,720,202.126709
-4299.0,720,208.928052
-4034.0,720,212.30779
-3824.0,720,227.564846
-3954.0,720,234.378862
-3214.0,720,237.803583
-4148.0,720,241.374598
-3330.0,720,259.828532
-3898.0,720,263.183929
-3742.0,720,266.595418
-3670.0,720,284.941826
-3719.0,720,288.297341
