#{"t_start": 1744985867.3927052, "env_id": "None"}
r,l,t
-7214.0,720,6.646058
-7382.0,720,10.315114
-8958.0,720,17.415357
-6053.0,720,34.510251
-5933.0,720,38.425513
-5260.0,720,45.772274
-4612.0,720,61.855003
-5130.0,720,65.297777
-4778.0,720,72.143522
-4701.0,720,75.532362
-3757.0,720,90.644121
-4224.0,720,97.521838
-3512.0,720,100.905784
-3750.0,720,116.001182
-3806.0,720,122.783306
-3952.0,720,126.225744
-3888.0,720,129.601509
-3902.0,720,148.162591
-3433.0,720,151.519445
-3185.0,720,158.399786
-3547.0,720,173.360608
-3149.0,720,176.795828
-3281.0,720,183.628738
-3965.0,720,187.07935
-3430.0,720,202.14711
-3440.0,720,208.948454
-3919.0,720,212.328192
-4041.0,720,227.585248
-4396.0,720,234.399264
-3304.0,720,237.823985
-3553.0,720,241.395
-3845.0,720,259.848934
-3670.0,720,263.204331
-3836.0,720,266.61582
-3447.0,720,284.962228
-3629.0,720,288.317743
