#{"t_start": 1744985867.3767412, "env_id": "None"}
r,l,t
-8261.0,720,6.662022
-7968.0,720,10.331078
-5091.0,720,17.431321
-5229.0,720,34.526215
-5257.0,720,38.441477
-4885.0,720,45.788238
-4840.0,720,61.870967
-4249.0,720,65.313741
-5057.0,720,72.159486
-4828.0,720,75.548326
-3718.0,720,90.660085
-4512.0,720,97.537802
-3667.0,720,100.921748
-4354.0,720,116.017146
-3645.0,720,122.79927
-4115.0,720,126.241709
-3261.0,720,129.617473
-3744.0,720,148.176319
-3627.0,720,151.535409
-3895.0,720,158.41575
-3288.0,720,173.376572
-3425.0,720,176.811792
-3457.0,720,183.644702
-3577.0,720,187.095314
-4121.0,720,202.163074
-3961.0,720,208.964418
-4096.0,720,212.344156
-4148.0,720,227.601212
-4559.0,720,234.415228
-4028.0,720,237.839949
-3407.0,720,241.410964
-3680.0,720,259.864898
-3310.0,720,263.220295
-4044.0,720,266.631784
-3422.0,720,284.978192
-3387.0,720,288.333707
