#{"t_start": 1746242096.7122889, "env_id": "None"}
r,l,t
-362803.0,614,24.116304
-380247.0,629,46.820009
-295170.0,611,69.693621
-390412.0,655,93.889791
-417955.0,628,116.891015
-357359.0,606,140.802451
-363090.0,613,206.795237
-369516.0,629,229.991481
-369858.0,640,254.568046
-344202.0,616,278.561508
-380679.0,639,302.656802
-373328.0,638,370.960935
-352498.0,645,394.40182
-355469.0,624,418.370628
-401353.0,634,441.958413
-344473.0,620,465.305062
-403140.0,627,490.435691
-361275.0,626,559.07242
-391799.0,629,583.233985
-348821.0,629,605.904418
-345388.0,631,629.350219
-362775.0,645,656.387679
-385846.0,656,681.658571
-364478.0,617,747.964935
-333960.0,604,771.517714
-398750.0,640,795.908799
-351760.0,612,819.334399
-364048.0,629,843.565338
-328835.0,636,867.898266
-389051.0,619,936.85
-312546.0,651,962.271368
-361372.0,622,986.248767
-355642.0,636,1010.51087
-361650.0,663,1037.606814
-386450.0,652,1061.261536
-393738.0,638,1131.700076
-370094.0,629,1156.042063
-377694.0,639,1180.906785
-384130.0,612,1205.250337
-339504.0,636,1229.633867
-356330.0,624,1252.043777
-331847.0,642,1321.359947
-426792.0,642,1346.798526
-345785.0,632,1372.365596
-367536.0,636,1396.204808
-419017.0,613,1421.908674
-392010.0,609,1446.08198
-340109.0,625,1518.136166
-378495.0,617,1542.910857
-378231.0,634,1567.723642
-360329.0,639,1592.927078
-342632.0,643,1618.083209
-346003.0,643,1643.398039
-370133.0,649,1715.303396
-333274.0,600,1738.014149
-375016.0,625,1762.51488
-330750.0,625,1787.603684
-367306.0,620,1812.061666
-369331.0,651,1837.624849
-387392.0,610,1909.589615
-381872.0,621,1933.777716
-388882.0,610,1956.664238
-340365.0,627,1981.337791
-368711.0,632,2006.575002
-336148.0,622,2031.328689
-363023.0,617,2104.267137
-343655.0,649,2130.133399
-382685.0,652,2155.04651
-367245.0,606,2180.189458
-388897.0,623,2204.799773
-336705.0,637,2229.788391
-388023.0,637,2301.141328
-381177.0,660,2326.487493
-355583.0,624,2352.019311
-437164.0,647,2377.879996
-370660.0,626,2402.884228
-361976.0,633,2428.232564
-345300.0,638,2500.725543
-352166.0,652,2525.910533
-317488.0,651,2551.296414
-380381.0,629,2576.61166
-368706.0,639,2602.18199
-333355.0,605,2625.810653
-366513.0,661,2700.849555
-349883.0,629,2724.318641
-415325.0,668,2752.985224
-345306.0,634,2777.498808
-394267.0,643,2803.278693
-364295.0,629,2829.042055
-395617.0,621,2901.118637
-352695.0,613,2926.230673
-388101.0,660,2952.981401
-389565.0,631,2978.491083
-363269.0,614,3004.364633
-403160.0,625,3029.586927
-398113.0,631,3103.571505
-391318.0,660,3130.751394
-393970.0,606,3157.046376
-317035.0,645,3186.943984
-382796.0,649,3215.390516
-306850.0,611,3288.206113
-357044.0,626,3314.086449
-335541.0,639,3341.250799
-368471.0,638,3369.89911
-401257.0,598,3395.032356
-375296.0,608,3420.168463
-376916.0,631,3497.971513
-374315.0,635,3530.230258
-400219.0,620,3560.6256
-359479.0,628,3587.079672
-389677.0,616,3612.855896
-342057.0,617,3642.160151
-367446.0,628,3669.812238
-356544.0,627,3746.728926
-344412.0,629,3773.361522
-364186.0,614,3800.143015
-360701.0,628,3826.951205
-362209.0,611,3851.538702
-397643.0,615,3877.879688
