#{"t_start": 1746242096.726912, "env_id": "None"}
r,l,t
-446461.0,622,25.401884
-341653.0,644,48.879972
-368308.0,615,70.548782
-362578.0,608,93.074462
-343985.0,662,118.246033
-398421.0,619,184.640248
-348538.0,616,207.800331
-353313.0,603,230.659865
-350744.0,637,255.177309
-455240.0,620,279.229033
-368877.0,626,301.874504
-376484.0,636,370.218246
-342102.0,625,393.349125
-317404.0,650,417.70188
-377863.0,638,441.943789
-349925.0,628,466.632055
-375654.0,623,491.103067
-389798.0,648,560.66517
-458696.0,624,584.098741
-375165.0,616,607.261992
-363502.0,615,628.570128
-366703.0,630,653.077082
-398122.0,643,677.373568
-389707.0,630,747.062683
-410313.0,622,770.808071
-355079.0,636,795.158717
-378944.0,648,820.275915
-346073.0,614,844.315668
-412116.0,617,867.149223
-379280.0,621,936.164203
-362153.0,608,958.200551
-330829.0,644,982.753317
-345374.0,652,1009.731832
-364093.0,606,1031.868001
-348730.0,604,1055.484278
-383132.0,626,1125.006658
-361141.0,633,1149.567637
-365699.0,611,1173.395477
-386573.0,655,1198.465882
-394211.0,604,1220.983338
-365064.0,648,1245.788589
-388255.0,642,1318.143341
-413353.0,622,1340.658129
-382973.0,626,1364.970565
-356778.0,619,1388.718319
-369839.0,641,1414.462502
-391992.0,625,1438.549183
-360085.0,619,1510.46471
-334142.0,632,1535.462081
-384895.0,645,1560.688318
-412746.0,602,1584.273548
-330484.0,625,1608.971132
-345844.0,622,1633.843738
-402242.0,638,1705.303522
-327551.0,642,1730.652632
-372278.0,628,1755.409957
-351354.0,635,1781.332014
-385429.0,645,1806.34044
-360595.0,635,1831.628496
-396102.0,615,1903.81762
-366595.0,621,1928.091115
-321471.0,630,1953.646397
-322616.0,634,1978.551664
-377190.0,624,2003.64265
-383789.0,658,2029.051704
-372049.0,644,2102.473166
-350073.0,602,2125.154456
-410148.0,617,2149.244015
-382882.0,623,2174.268746
-356743.0,649,2199.688534
-355884.0,607,2224.112689
-374960.0,646,2294.98167
-346140.0,611,2320.091306
-378891.0,617,2343.77233
-430148.0,635,2369.054923
-395529.0,613,2393.239328
-369984.0,615,2418.039999
-352906.0,618,2490.43829
-372443.0,609,2514.481413
-394861.0,630,2539.3803
-344032.0,615,2562.796329
-364292.0,612,2588.205077
-367493.0,621,2613.250448
-350913.0,612,2685.603842
-413851.0,631,2711.235085
-388567.0,610,2736.208585
-337993.0,633,2760.796049
-338800.0,625,2785.264449
-339346.0,630,2810.714952
-380241.0,641,2884.150977
-394471.0,651,2910.656521
-324503.0,644,2936.594359
-339941.0,620,2962.19364
-355757.0,600,2987.005162
-378214.0,620,3012.993831
-369562.0,611,3086.406111
-342019.0,616,3111.137837
-402121.0,613,3136.984644
-350480.0,647,3164.692565
-361981.0,630,3193.698212
-385248.0,621,3221.145699
-393319.0,618,3294.16695
-350081.0,634,3320.157807
-392564.0,645,3348.026966
-341377.0,631,3376.263613
-380102.0,614,3402.162773
-381005.0,605,3426.66018
-313703.0,628,3505.7171
-380197.0,608,3536.840102
-359497.0,616,3566.374983
-377707.0,642,3593.037171
-341720.0,623,3620.989883
-359452.0,618,3648.345661
-368466.0,653,3726.300134
-372500.0,666,3755.927468
-401207.0,625,3782.345478
-338391.0,623,3808.190737
-314412.0,622,3834.889214
-360218.0,633,3861.642081
