#{"t_start": 1746242096.726912, "env_id": "None"}
r,l,t
-412119.0,621,24.781126
-397102.0,630,47.48818
-372818.0,648,72.003105
-339139.0,633,94.738428
-394008.0,606,117.512821
-376097.0,655,185.529938
-343541.0,630,208.900056
-358305.0,636,235.627135
-374175.0,623,259.848474
-395912.0,631,283.69081
-364431.0,636,307.528498
-377912.0,623,375.354965
-359311.0,622,399.695449
-360144.0,653,423.800693
-378331.0,641,447.704448
-363294.0,657,472.421051
-367995.0,612,496.434898
-384008.0,637,565.973721
-403111.0,628,585.956807
-403710.0,627,609.253196
-373226.0,598,634.388355
-397565.0,646,657.900434
-374791.0,615,682.565419
-411488.0,626,752.37885
-381525.0,637,776.614028
-396218.0,622,800.770719
-376635.0,631,821.504108
-430755.0,618,845.612754
-321731.0,632,869.299371
-368954.0,622,938.233279
-354389.0,617,963.183404
-344748.0,611,986.985223
-392793.0,614,1009.095471
-362250.0,622,1032.651782
-352316.0,677,1060.146124
-348660.0,617,1127.073435
-391111.0,620,1151.468272
-341532.0,619,1175.343352
-385920.0,601,1199.454217
-398445.0,603,1223.851314
-356707.0,630,1245.788589
-399801.0,630,1315.479491
-342791.0,627,1339.891
-373878.0,629,1364.270001
-390495.0,628,1389.430579
-347803.0,626,1413.649941
-344915.0,651,1439.470608
-354982.0,640,1512.367904
-337215.0,640,1537.592765
-323195.0,625,1562.354712
-405477.0,619,1587.241863
-348793.0,632,1612.285451
-400057.0,621,1637.139066
-361270.0,613,1706.455503
-314463.0,645,1731.853699
-326370.0,610,1756.213419
-399215.0,612,1780.406473
-386048.0,630,1805.119277
-383355.0,628,1830.278597
-390147.0,623,1902.584348
-375134.0,636,1927.152074
-373459.0,595,1950.230114
-336195.0,617,1974.650764
-349447.0,646,2000.250631
-377819.0,623,2024.926434
-405770.0,608,2097.587604
-344346.0,677,2123.897877
-374783.0,647,2148.430164
-369623.0,627,2173.533389
-368552.0,616,2198.389
-317704.0,635,2223.286083
-370556.0,637,2293.994716
-340476.0,602,2317.112519
-373936.0,643,2343.082389
-360483.0,613,2367.852988
-410057.0,652,2394.163566
-352596.0,667,2422.08615
-364744.0,643,2494.936548
-321247.0,635,2519.468112
-375060.0,626,2542.395726
-341007.0,627,2568.090596
-388529.0,676,2597.120396
-367975.0,629,2622.962849
-374785.0,631,2693.528581
-353737.0,651,2721.309046
-343855.0,636,2747.322581
-378236.0,626,2770.812706
-338686.0,615,2795.951693
-366778.0,622,2821.187322
-351294.0,632,2894.324978
-363012.0,622,2919.924008
-357717.0,623,2945.860304
-381954.0,639,2971.315809
-398012.0,632,2997.577427
-362380.0,641,3023.499861
-340885.0,605,3096.064878
-391680.0,608,3121.510787
-333608.0,633,3148.153439
-355619.0,631,3176.483912
-393051.0,640,3205.758953
-402211.0,630,3232.388807
-394786.0,628,3305.569638
-384294.0,607,3330.948225
-349857.0,663,3360.371951
-370963.0,617,3387.714572
-362207.0,620,3411.658181
-357615.0,633,3437.903486
-382963.0,633,3520.636743
-351088.0,641,3551.598713
-351568.0,627,3579.502225
-388383.0,651,3606.806431
-398087.0,645,3636.527233
-415122.0,625,3664.492147
-373072.0,613,3740.718956
-318165.0,619,3767.425002
-367114.0,638,3794.843867
-355489.0,615,3821.697179
-408727.0,628,3848.359677
-401912.0,631,3875.151254
