#{"t_start": 1746242100.1496727, "env_id": "None"}
r,l,t
-612700.0,718,146.67297
-667586.0,709,155.645672
-643287.0,704,163.968552
-598255.0,718,172.209164
-606645.0,706,180.340232
-601265.0,688,331.111522
-641163.0,718,339.860563
-623550.0,706,348.546431
-625250.0,689,357.548354
-670102.0,705,366.072867
-675050.0,692,517.940914
-692097.0,692,527.188636
-642552.0,689,535.883702
-636881.0,705,544.466534
-642397.0,705,553.238742
-681342.0,703,705.643271
-627199.0,692,714.261389
-656238.0,689,723.006902
-639168.0,705,732.065284
-623159.0,705,740.785579
-651977.0,705,893.052423
-604456.0,689,901.908276
-583725.0,706,910.442677
-685476.0,689,919.511931
-615617.0,705,928.178517
-646529.0,709,1081.909595
-624709.0,688,1090.845543
-653472.0,677,1099.645393
-638454.0,691,1108.550813
-701319.0,691,1117.604204
-631907.0,707,1273.532304
-629722.0,707,1282.363956
-683272.0,718,1291.262965
-630380.0,718,1300.077573
-640698.0,707,1309.236098
-600003.0,691,1464.905956
-661179.0,704,1474.766608
-612295.0,705,1484.020441
-607661.0,705,1493.332632
-638746.0,689,1502.489064
-677017.0,718,1660.692138
-658341.0,718,1670.025032
-679302.0,694,1678.930046
-605567.0,674,1688.116273
-578275.0,705,1697.028592
-670351.0,718,1854.960597
-641328.0,691,1864.446923
-644372.0,718,1873.788658
-646931.0,691,1882.996165
-655093.0,718,1892.587777
-656799.0,706,2051.718615
-686526.0,718,2060.943328
-624612.0,691,2070.317615
-669908.0,705,2079.90267
-611768.0,718,2089.175802
-632993.0,688,2246.282949
-666043.0,718,2255.694158
-592611.0,690,2264.500869
-622782.0,691,2273.343877
-616407.0,708,2282.690274
-638541.0,688,2442.171465
-659530.0,688,2451.378054
-636131.0,692,2460.616047
-637581.0,709,2469.922791
-652072.0,705,2479.503623
-642426.0,707,2639.717424
-668793.0,709,2649.210654
-681120.0,709,2658.592717
-633281.0,689,2667.841046
-626756.0,688,2676.906213
-626962.0,693,2836.591138
-680608.0,704,2846.141022
-638073.0,709,2855.547571
-621788.0,718,2864.587206
-665532.0,705,2874.286711
-682010.0,718,3037.560474
-661354.0,706,3047.094165
-647264.0,718,3056.669955
-650019.0,718,3066.161084
-668128.0,718,3075.450372
-631970.0,691,3246.519322
-640511.0,718,3255.526644
-634265.0,718,3265.07965
-634337.0,690,3274.590484
-644510.0,709,3283.772387
-628988.0,708,3451.631851
-641462.0,704,3461.264246
-603313.0,704,3470.349364
-663727.0,718,3481.69411
-628764.0,708,3493.790879
-696724.0,709,3676.824975
-634029.0,718,3686.568321
-660516.0,676,3696.207288
-592621.0,709,3705.788218
-594659.0,706,3715.151087
-661227.0,718,3885.459828
-627127.0,689,3894.925331
-627800.0,710,3904.498986
-649199.0,709,3914.214016
-634229.0,718,3923.647917
