#{"t_start": 1745727355.8483958, "env_id": "None"}
r,l,t
-7406.0,718,9.408072
-6599.0,718,14.467559
-6907.0,718,24.487163
-7806.0,718,29.195427
-7584.0,718,33.89048
-8036.0,718,59.806393
-7205.0,718,64.046922
-10084.0,718,68.217065
-7233.0,718,76.816785
-6893.0,718,81.257294
-7346.0,718,100.622338
-6820.0,718,109.24462
-6880.0,718,113.832658
-8855.0,718,118.31787
-7705.0,718,127.277202
-8814.0,718,148.475716
-7497.0,718,152.657575
-7619.0,718,161.296703
-7775.0,718,165.625895
-6768.0,718,175.073493
-4840.0,718,208.852486
-7837.0,718,213.251926
-6210.0,718,222.403725
-6731.0,718,251.410532
-5077.0,718,256.152094
-5478.0,718,266.991645
-4908.0,718,287.119586
-4072.0,718,291.877692
-4536.0,718,301.505773
-4469.0,718,306.179605
-4132.0,718,310.648815
-3959.0,718,336.289809
-3808.0,718,340.750621
-3650.0,718,345.209863
-3710.0,718,354.774147
-3921.0,718,359.489145
-3486.0,718,379.300351
-3416.0,718,389.268128
-3698.0,718,394.095536
-3650.0,718,403.973655
-3468.0,718,408.803742
-3639.0,718,428.810933
-3288.0,718,437.838974
-3329.0,718,442.404254
-3508.0,718,446.976554
-3199.0,718,456.388315
-3363.0,718,461.170784
-3301.0,718,480.894839
-3356.0,718,490.433945
-3218.0,718,495.048791
-3340.0,718,499.343593
-3120.0,718,508.465755
-3274.0,718,527.863909
-3284.0,718,532.257806
-3239.0,718,541.399023
-2950.0,718,545.804076
-3291.0,718,550.40518
-3154.0,718,574.456436
-3360.0,718,579.307439
-3331.0,718,588.694277
-3056.0,718,593.150753
-3133.0,718,597.628323
-3332.0,718,623.291982
-3150.0,718,627.781441
-3182.0,718,632.338822
-3213.0,718,642.128318
-3171.0,718,646.583544
-3225.0,718,666.895561
-3137.0,718,676.45841
-2958.0,718,680.897476
-3069.0,718,685.427717
-2978.0,718,694.806389
-3203.0,718,699.570525
-3187.0,718,719.501587
-3298.0,718,728.971087
-3196.0,718,733.621718
-3130.0,718,738.1573
-3219.0,718,747.663561
-3252.0,718,768.568912
-3115.0,718,777.866661
-3264.0,718,782.414394
-3225.0,718,787.110379
-3172.0,718,796.749912
-3330.0,718,816.790107
-3093.0,718,821.64836
-3229.0,718,830.927918
-3254.0,718,835.728839
-3156.0,718,840.334919
-3015.0,718,866.204935
-3179.0,718,870.824109
-3248.0,718,875.422959
-3331.0,718,885.043836
-3152.0,718,889.636341
-3137.0,718,894.296191
-3241.0,718,919.828606
-3422.0,718,924.318627
-3243.0,718,933.577683
-3195.0,718,938.313574
-3116.0,718,943.159421
-3209.0,718,967.703985
-3090.0,718,972.502148
-3075.0,718,977.452033
-3199.0,718,987.248784
-3197.0,718,992.108255
-3249.0,718,1013.940442
