#{"t_start": 1745727355.8483958, "env_id": "None"}
r,l,t
-8839.0,718,9.407073
-7295.0,718,14.466558
-6950.0,718,24.485163
-7791.0,718,29.196832
-7482.0,718,33.89048
-8197.0,718,59.806393
-8286.0,718,64.046922
-6674.0,718,68.217065
-7922.0,718,76.816785
-7596.0,718,81.257294
-7928.0,718,100.623338
-7611.0,718,109.24462
-8541.0,718,113.831652
-6192.0,718,118.31787
-9012.0,718,127.278202
-8839.0,718,148.474716
-6243.0,718,152.657575
-9851.0,718,161.296703
-6555.0,718,165.625895
-6332.0,718,175.073493
-7307.0,718,208.852486
-7426.0,718,213.251926
-7209.0,718,222.385732
-5750.0,718,251.410532
-5269.0,718,256.153093
-6554.0,718,266.991645
-5588.0,718,287.119586
-4149.0,718,291.877692
-4936.0,718,301.505773
-4034.0,718,306.179605
-3909.0,718,310.648815
-3685.0,718,336.29103
-4322.0,718,340.750621
-3981.0,718,345.209863
-3787.0,718,354.774147
-4028.0,718,359.489145
-3745.0,718,379.300351
-3313.0,718,389.267121
-3361.0,718,394.095536
-3431.0,718,403.973655
-3250.0,718,408.802725
-3367.0,718,428.810933
-3450.0,718,437.840478
-3203.0,718,442.404254
-3220.0,718,446.976554
-3532.0,718,456.388315
-3529.0,718,461.170784
-3460.0,718,480.895838
-3222.0,718,490.433945
-3266.0,718,495.04979
-3104.0,718,499.343593
-3318.0,718,508.465755
-3357.0,718,527.863909
-3327.0,718,532.257806
-3173.0,718,541.399023
-3171.0,718,545.805078
-3310.0,718,550.40518
-3055.0,718,574.456436
-3457.0,718,579.308439
-3449.0,718,588.694277
-3200.0,718,593.150753
-2998.0,718,597.629324
-3060.0,718,623.291982
-3204.0,718,627.781441
-3182.0,718,632.338822
-3156.0,718,642.128318
-3163.0,718,646.583544
-3062.0,718,666.896561
-3043.0,718,676.45841
-3211.0,718,680.897476
-3337.0,718,685.427717
-3214.0,718,694.806389
-3093.0,718,699.570525
-3188.0,718,719.501587
-3263.0,718,728.972085
-3195.0,718,733.621718
-3202.0,718,738.1573
-3219.0,718,747.662563
-3252.0,718,768.568912
-3029.0,718,777.866661
-3277.0,718,782.414394
-3193.0,718,787.110379
-3095.0,718,796.749912
-3330.0,718,816.790107
-3092.0,718,821.649359
-3229.0,718,830.927918
-3200.0,718,835.728839
-3054.0,718,840.333919
-3134.0,718,866.205931
-3285.0,718,870.824109
-3247.0,718,875.422959
-3257.0,718,885.044842
-3149.0,718,889.636341
-3018.0,718,894.296191
-3239.0,718,919.828606
-3328.0,718,924.318627
-3243.0,718,933.576682
-3091.0,718,938.313574
-3225.0,718,943.160421
-3142.0,718,967.70348
-3227.0,718,972.502148
-3218.0,718,977.452033
-3199.0,718,987.248784
-3197.0,718,992.109255
-3297.0,718,1013.940442
