#{"t_start": 1745725328.015988, "env_id": "None"}
r,l,t
-5437.0,367,6.884182
-6979.0,370,12.776416
-5917.0,367,16.661357
-5701.0,367,21.892617
-6127.0,369,26.432946
-6993.0,368,37.326093
-7527.0,370,41.860072
-8145.0,370,46.365579
-5977.0,368,51.60054
-7267.0,368,56.862716
-7767.0,371,76.751046
-8089.0,367,86.290278
-7296.0,368,91.51655
-5476.0,368,96.74657
-7142.0,371,101.962785
-7432.0,370,107.207174
-8746.0,368,116.852496
-6565.0,370,121.984328
-5609.0,369,126.549687
-5550.0,367,131.717557
-8305.0,370,151.495755
-5958.0,370,156.728262
-6171.0,374,167.814753
-7231.0,371,173.136647
-6818.0,370,178.280943
-7589.0,367,183.524665
-5190.0,372,188.809473
-8013.0,368,198.636743
-8212.0,368,203.222789
-7036.0,367,207.077231
-8874.0,369,227.491925
-6928.0,371,233.92554
-7063.0,368,238.477789
-7332.0,369,248.15068
-6188.0,370,253.324954
-5316.0,368,258.487848
-6764.0,370,264.33149
-6049.0,369,269.458642
-6954.0,370,279.138503
-6560.0,368,284.295643
-4905.0,371,304.965134
-5015.0,369,310.215223
-7252.0,369,315.474608
-6515.0,368,320.730861
-5115.0,368,331.062875
-5157.0,368,336.263056
-5162.0,368,340.897456
-4467.0,370,345.44346
-4536.0,369,350.66872
-4658.0,369,360.921131
-4064.0,369,381.196473
-4075.0,371,387.157443
-5438.0,369,392.368653
-5380.0,370,397.504592
-5365.0,368,402.589938
-4319.0,369,412.655019
-4139.0,369,417.807306
-3602.0,367,422.985437
-4083.0,369,428.055485
-3536.0,369,433.188585
-3822.0,368,453.352539
-3601.0,367,463.629641
-3365.0,368,468.854508
-3603.0,369,474.056614
-3601.0,371,479.292068
-3101.0,369,484.426975
-3419.0,368,494.635083
-3494.0,368,499.874824
-2927.0,367,505.052954
-3590.0,368,510.353894
-3337.0,369,515.569924
-3163.0,369,535.852581
-3254.0,369,546.176045
-2891.0,369,551.410807
-3273.0,369,556.642071
-2829.0,369,561.766501
-3076.0,369,566.975045
-2975.0,368,577.196395
-3406.0,368,582.374923
-2763.0,369,587.666695
-3096.0,369,592.887742
-3125.0,369,613.165463
-3169.0,368,618.33663
-2913.0,367,628.482465
-3031.0,367,633.651006
-2992.0,369,638.845935
-2786.0,368,644.005108
-2664.0,369,649.15439
-3158.0,368,659.382258
-2827.0,369,664.524921
-2869.0,367,669.744668
-2780.0,368,689.588623
-3015.0,368,694.71243
-2611.0,367,699.922501
-2986.0,369,710.06686
-2762.0,368,715.333114
-2919.0,367,720.598008
-2828.0,368,725.790579
-2889.0,369,731.07762
-2985.0,369,741.413526
-2848.0,367,746.609596
-2787.0,367,766.928586
-3048.0,369,772.15464
-2743.0,368,777.309615
-2630.0,367,782.531776
-2701.0,368,792.634851
-2959.0,369,797.77948
-2897.0,368,802.907207
-3075.0,368,808.052137
-2912.0,368,813.195796
-2729.0,367,818.398598
-2900.0,367,843.543436
-2827.0,367,848.781099
-2942.0,367,853.926873
-2809.0,367,859.07086
-2830.0,368,864.273958
-2921.0,367,874.34022
-2977.0,367,879.545955
-2925.0,367,884.781648
-2976.0,367,890.062494
-2843.0,368,895.267709
-3307.0,369,900.570767
-2870.0,368,926.078636
-2896.0,367,931.360495
-3035.0,367,936.564627
-2793.0,367,941.853591
-2966.0,367,949.18912
-3004.0,368,966.909829
-3003.0,367,974.674034
-2864.0,367,982.339099
-2831.0,367,990.040443
-2945.0,368,997.755841
-2884.0,368,1032.797994
-2857.0,367,1046.681396
-2891.0,367,1051.623839
-2970.0,367,1056.734925
-2869.0,368,1062.443214
-2936.0,367,1067.239387
-2715.0,367,1077.518256
-2774.0,367,1082.484545
-2763.0,367,1087.227634
-2959.0,368,1092.111679
-2719.0,367,1107.391584
-2949.0,368,1112.313311
-2886.0,367,1122.254381
-2839.0,367,1127.219606
-2733.0,367,1132.216798
-2789.0,368,1137.15591
-2727.0,367,1141.939898
-2801.0,368,1146.728856
-2839.0,368,1156.356206
-2868.0,367,1161.37481
-2730.0,367,1177.382506
-3000.0,368,1183.320122
-2957.0,368,1188.604422
-2753.0,368,1198.466044
-2779.0,367,1203.282903
-2911.0,367,1208.165588
-3076.0,367,1212.945859
-2996.0,367,1217.818167
-2963.0,368,1222.776491
-2563.0,368,1232.470957
-2808.0,367,1247.673483
-2900.0,367,1252.632634
-2801.0,367,1257.535231
-2919.0,367,1262.321347
-2810.0,367,1271.692489
-3060.0,368,1276.4454
-2807.0,368,1281.415149
-2822.0,367,1286.336751
-2881.0,367,1291.125247
-2869.0,367,1296.154152
-2727.0,367,1312.566293
-2881.0,368,1329.675254
-2778.0,367,1334.603258
-2754.0,368,1339.431261
-3114.0,368,1344.440698
-2902.0,367,1349.79197
-2841.0,367,1362.384656
-2806.0,367,1367.548848
-3035.0,367,1372.748724
-2737.0,367,1377.735155
-2810.0,368,1382.495591
-2726.0,368,1402.758673
-2875.0,367,1408.643936
-3166.0,367,1414.339315
-2725.0,367,1420.085585
-2559.0,367,1425.757303
-2941.0,367,1431.773557
-2911.0,367,1529.134234
-3072.0,367,1534.28429
-2965.0,367,1539.638303
-2920.0,367,1544.838809
-2800.0,368,1565.846466
-2697.0,367,1576.910553
-2775.0,367,1582.342928
-2861.0,367,1588.706181
-2778.0,367,1593.94473
-3147.0,367,1599.12008
-2834.0,367,1604.450244
-3047.0,368,1615.639671
-2722.0,367,1620.984076
-2798.0,367,1625.772764
-2866.0,367,1647.304545
-2944.0,367,1652.603288
