#{"t_start": 1745725328.0006409, "env_id": "None"}
r,l,t
-7350.0,369,8.179529
-7713.0,367,12.132837
-5902.0,369,17.319941
-6481.0,368,22.563081
-6445.0,369,27.09025
-8618.0,369,37.997687
-7493.0,369,42.517586
-7740.0,370,47.030693
-6974.0,369,52.274227
-7542.0,370,58.189736
-7702.0,368,77.426098
-6757.0,370,87.615217
-5402.0,368,92.854951
-7834.0,368,97.432363
-5716.0,367,102.619425
-6199.0,369,107.222521
-7524.0,368,116.867843
-6116.0,368,121.342741
-8123.0,372,127.217829
-7041.0,371,132.399393
-6149.0,367,152.176577
-7318.0,370,157.409895
-7893.0,370,167.183945
-6329.0,369,172.483801
-6193.0,368,176.978288
-6117.0,370,182.24274
-6881.0,370,187.517437
-6400.0,370,197.989499
-8270.0,368,202.596203
-6337.0,371,207.749098
-7945.0,369,228.147635
-5134.0,368,232.660852
-5632.0,369,237.834296
-6091.0,372,248.810471
-8142.0,369,254.000249
-5147.0,368,259.142669
-8403.0,368,263.706373
-5100.0,368,268.832618
-5483.0,369,278.497686
-5830.0,369,283.639911
-5014.0,369,304.306385
-7420.0,369,309.572763
-6438.0,369,314.816393
-6239.0,369,320.087974
-3978.0,368,330.405488
-4776.0,370,335.634658
-5225.0,369,340.912803
-5614.0,372,346.118706
-4903.0,369,351.34911
-5691.0,369,361.579419
-4232.0,369,381.869727
-5313.0,367,386.512608
-5319.0,367,391.716752
-5162.0,369,396.845645
-3988.0,370,401.967267
-4804.0,368,411.990413
-3650.0,369,417.150693
-4439.0,368,422.330698
-4250.0,369,427.4158
-4714.0,368,432.545752
-3943.0,368,452.681449
-3187.0,369,462.983867
-3700.0,368,468.228848
-3640.0,367,473.415941
-3864.0,368,478.610503
-3307.0,367,483.747424
-3657.0,369,493.937565
-3231.0,368,499.198152
-3427.0,369,504.382645
-3881.0,368,509.699974
-3047.0,369,514.906323
-2679.0,368,535.167536
-2701.0,369,545.495975
-3004.0,368,550.736894
-3100.0,367,555.944474
-3080.0,368,561.07423
-3206.0,368,566.26731
-3083.0,369,576.48951
-2771.0,367,581.68463
-2820.0,368,586.958235
-2770.0,369,592.174904
-2928.0,369,612.46272
-2734.0,367,617.616048
-2977.0,368,627.756197
-2746.0,369,632.930524
-2797.0,369,638.158338
-2818.0,367,643.303302
-3151.0,368,648.442755
-2821.0,369,658.676698
-3068.0,368,663.826961
-2874.0,368,669.030038
-2904.0,369,688.894847
-2703.0,367,694.00109
-2838.0,369,699.230201
-2941.0,369,709.36356
-2993.0,369,714.641374
-2939.0,368,719.930833
-2707.0,367,725.100564
-2993.0,368,730.373762
-2828.0,367,735.559097
-3130.0,368,745.893448
-2768.0,369,766.229808
-3035.0,367,771.441815
-2865.0,368,776.622102
-2912.0,368,781.852915
-2892.0,367,791.953646
-2980.0,368,797.072466
-2827.0,368,802.205371
-2940.0,367,807.333903
-2842.0,369,812.492975
-3162.0,368,817.693993
-2985.0,368,842.846601
-2904.0,367,848.082016
-2942.0,367,853.237309
-3020.0,368,858.381867
-2844.0,367,863.562141
-2851.0,367,873.634739
-2974.0,368,878.847
-2906.0,367,884.077708
-3038.0,368,889.382849
-2791.0,367,894.58516
-2646.0,368,899.877342
-2883.0,367,925.363867
-3077.0,367,930.633856
-2885.0,367,935.843948
-2792.0,367,941.144064
-2965.0,367,948.343597
-2882.0,368,966.062163
-2800.0,367,973.817215
-2763.0,367,981.510242
-2744.0,367,989.185753
-2778.0,367,996.928831
-2886.0,368,1031.943584
-2933.0,368,1046.009804
-2934.0,368,1050.94314
-2917.0,368,1056.061623
-2869.0,368,1061.784696
-2828.0,367,1066.582942
-2729.0,367,1071.972231
-2861.0,368,1081.84441
-3098.0,368,1086.588218
-2997.0,368,1091.471275
-2666.0,368,1106.752556
-2817.0,367,1111.673671
-2721.0,367,1121.6132
-2844.0,367,1126.5793
-2852.0,367,1131.559216
-3209.0,368,1136.515715
-2955.0,368,1141.313609
-2985.0,367,1146.088623
-2839.0,368,1155.711432
-2794.0,368,1160.735033
-2842.0,368,1176.726581
-2938.0,368,1182.654292
-2836.0,367,1187.961946
-2914.0,368,1197.83104
-2960.0,367,1202.642908
-2877.0,367,1207.524194
-2973.0,371,1212.337284
-2884.0,367,1217.203017
-3051.0,367,1222.152642
-2563.0,368,1231.846642
-2823.0,367,1247.048145
-2899.0,367,1252.008339
-2801.0,367,1256.928213
-2946.0,367,1261.694305
-2679.0,367,1271.084377
-2850.0,367,1275.817122
-2731.0,367,1280.776929
-2826.0,367,1285.710747
-3123.0,368,1290.500199
-2781.0,367,1295.507512
-3135.0,368,1311.876961
-2825.0,368,1329.055279
-2778.0,367,1333.964331
-2754.0,368,1338.81097
-2844.0,368,1343.815793
-2851.0,368,1349.158822
-2841.0,367,1361.761341
-2951.0,367,1366.926119
-2892.0,367,1372.095958
-2737.0,367,1377.127761
-2810.0,368,1381.882913
-2911.0,367,1402.120356
-2875.0,367,1407.997255
-3166.0,367,1413.687491
-2907.0,367,1419.428472
-2872.0,367,1425.122027
-2941.0,367,1431.107149
-2911.0,367,1528.510096
-2757.0,367,1533.632492
-2952.0,367,1538.987041
-2920.0,367,1544.193964
-2800.0,368,1565.194824
-2697.0,367,1576.279117
-2775.0,367,1581.707093
-2809.0,367,1588.032575
-2878.0,368,1593.309999
-3077.0,368,1598.509265
-2966.0,367,1603.81562
-2892.0,368,1615.03477
-2723.0,367,1620.366192
-2955.0,371,1626.442061
-2848.0,367,1647.978917
-2836.0,367,1653.270726
