#{"t_start": 1745725331.6735983, "env_id": "None"}
r,l,t
-16947.0,369,59.018365
-17951.0,369,61.848523
-17890.0,369,64.682217
-17430.0,369,67.413936
-17695.0,369,70.185084
-17486.0,369,134.372391
-16810.0,369,137.184127
-17135.0,369,139.950394
-18494.0,369,142.725219
-17095.0,369,145.498128
-17929.0,369,210.288
-17143.0,369,213.144307
-17439.0,369,216.033378
-18184.0,370,218.856758
-17822.0,369,221.824239
-2900.0,367,286.654327
-2946.0,367,289.568214
-2682.0,367,292.60421
-3029.0,367,295.57424
-2817.0,368,298.431066
-2724.0,367,364.208912
-2833.0,368,367.123913
-2797.0,368,369.979887
-2955.0,367,372.871759
-2646.0,367,375.728663
-2970.0,367,436.890266
-2907.0,367,439.707951
-2798.0,367,442.621681
-2878.0,367,445.448508
-2737.0,367,448.318399
-2934.0,367,516.60362
-2834.0,367,519.464612
-2846.0,367,522.323548
-3010.0,367,525.194502
-2946.0,367,528.050467
-2841.0,368,594.252509
-2827.0,368,597.072087
-2922.0,367,600.022244
-2886.0,368,602.912162
-2889.0,367,605.784446
-2787.0,367,671.554004
-2904.0,367,674.304243
-3000.0,367,677.092606
-3135.0,367,679.929353
-2936.0,368,682.739447
-2836.0,367,749.085014
-2731.0,367,751.876567
-2783.0,367,754.774376
-2752.0,367,757.707736
-3058.0,368,760.546797
-2733.0,367,826.252375
-2899.0,368,829.067303
-2745.0,367,831.941803
-2640.0,367,834.800706
-2957.0,367,837.658444
-2961.0,367,901.460282
-3047.0,367,904.400319
-2898.0,367,907.264904
-2634.0,367,910.184116
-2631.0,368,913.003528
-2711.0,367,1002.471633
-2766.0,367,1007.746296
-2851.0,367,1013.056451
-2613.0,367,1018.417833
-2812.0,367,1023.70354
-2764.0,368,1092.829574
-2828.0,367,1094.726143
-2895.0,367,1096.813025
-2907.0,367,1098.766589
-2813.0,368,1100.717201
-2830.0,367,1162.892946
-2897.0,367,1164.911011
-2765.0,367,1166.904871
-2900.0,367,1168.94243
-2982.0,367,1171.056969
-3010.0,368,1234.200657
-2961.0,367,1236.135055
-2821.0,367,1238.037043
-2988.0,367,1239.943877
-2924.0,368,1242.000661
-2999.0,370,1313.840583
-2920.0,367,1316.061409
-3034.0,367,1318.137565
-2877.0,367,1320.117836
-2851.0,367,1322.104147
-2758.0,368,1382.932294
-2680.0,368,1384.924557
-2752.0,367,1386.913156
-2997.0,368,1388.899988
-2758.0,368,1390.905126
-2731.0,367,1547.004428
-2659.0,367,1550.033348
-2967.0,367,1553.114417
-3009.0,367,1556.191681
-2822.0,367,1559.075886
-2756.0,367,1629.257843
-2881.0,367,1632.465639
-2894.0,367,1635.505684
-2921.0,367,1638.513772
-2780.0,367,1641.757322
