#{"t_start": 1745725328.0006409, "env_id": "None"}
r,l,t
-6335.0,368,7.534466
-7176.0,368,12.132837
-7296.0,370,17.949777
-6794.0,367,22.563081
-6389.0,370,27.747288
-6050.0,373,38.683869
-7526.0,369,43.208682
-7306.0,375,48.375642
-7643.0,368,53.620213
-7708.0,368,58.875549
-8337.0,370,78.116633
-6868.0,367,88.304065
-8802.0,368,93.526975
-6872.0,369,98.762005
-8591.0,369,103.9652
-8708.0,373,108.615545
-5771.0,369,118.24286
-6480.0,373,123.396812
-5982.0,371,128.608092
-7336.0,370,133.803027
-8804.0,369,153.593463
-6990.0,371,158.843766
-8077.0,372,169.294026
-6636.0,370,173.914999
-7026.0,369,179.064337
-6066.0,367,184.311747
-6248.0,368,189.557636
-6689.0,372,199.429916
-6502.0,367,203.9931
-7675.0,369,209.147354
-7263.0,371,229.525319
-8111.0,370,234.720742
-8145.0,370,239.302406
-7419.0,371,249.593953
-7522.0,369,254.808877
-7565.0,369,259.956614
-5265.0,370,265.169838
-7165.0,370,270.318033
-5665.0,369,279.971776
-6261.0,368,285.117266
-5641.0,370,305.789829
-5482.0,368,311.040652
-3925.0,369,316.305628
-6911.0,367,321.52816
-4820.0,368,331.884199
-6500.0,369,337.082609
-5469.0,368,341.716005
-4582.0,368,346.898839
-6309.0,369,352.123714
-7578.0,370,362.361998
-4669.0,369,382.639554
-5402.0,369,387.942689
-4321.0,369,393.152226
-5350.0,369,398.272348
-4760.0,368,403.370422
-3497.0,369,413.434488
-4465.0,368,418.583767
-3933.0,368,423.771754
-3451.0,369,428.830704
-3560.0,369,434.000066
-3685.0,368,454.145792
-3324.0,367,464.431726
-3351.0,367,469.623922
-3186.0,369,474.822032
-3670.0,368,480.048193
-3519.0,368,485.172253
-2993.0,369,495.386842
-3185.0,368,500.622667
-3236.0,367,505.825783
-3198.0,368,511.116259
-3171.0,369,516.323398
-3492.0,370,536.613641
-3135.0,367,546.937994
-3180.0,369,552.173073
-3263.0,369,557.386421
-3285.0,368,562.504324
-2762.0,368,567.708506
-3652.0,368,577.934669
-2974.0,368,583.11106
-3545.0,368,588.396188
-3265.0,369,593.610033
-3309.0,369,613.902379
-2716.0,369,619.05574
-2930.0,368,629.22592
-3256.0,368,634.398523
-3482.0,367,639.571532
-2724.0,369,644.738779
-2989.0,368,649.869952
-2802.0,369,660.119873
-2642.0,369,665.281168
-2990.0,367,670.482887
-2878.0,370,690.337672
-3079.0,369,695.477919
-2723.0,369,700.688219
-2760.0,368,710.833415
-2883.0,368,716.114578
-3092.0,368,721.380608
-2907.0,368,726.573154
-2767.0,367,731.848862
-3145.0,368,742.150838
-2867.0,368,747.392452
-2805.0,367,767.696732
-2981.0,371,772.933138
-2877.0,368,778.079844
-2925.0,368,783.305668
-2859.0,368,793.418671
-2737.0,368,798.543487
-2937.0,367,803.667845
-2875.0,367,808.807745
-2799.0,367,813.964805
-3138.0,368,819.184484
-2756.0,367,844.341705
-2816.0,367,849.53957
-2748.0,367,854.694075
-3063.0,368,859.832236
-2991.0,369,865.072125
-2831.0,367,875.127251
-2878.0,367,880.332634
-2651.0,367,885.551095
-2982.0,368,890.833141
-2820.0,367,896.059382
-2870.0,368,901.353317
-2876.0,368,926.849885
-3039.0,368,932.144075
-2923.0,367,937.361377
-3011.0,367,942.627172
-2965.0,367,950.174609
-2874.0,367,967.838064
-3003.0,367,975.621125
-2987.0,368,983.274418
-2873.0,368,991.012786
-2844.0,367,998.718677
-2897.0,368,1033.764827
-2767.0,367,1047.420143
-2907.0,367,1052.367151
-2806.0,367,1057.522314
-2784.0,368,1063.173965
-2823.0,367,1067.970508
-2858.0,367,1078.266619
-2822.0,367,1083.21425
-2875.0,367,1087.962887
-2879.0,368,1092.851051
-2719.0,367,1108.121799
-2846.0,367,1113.045994
-3024.0,367,1122.987179
-2663.0,367,1127.952886
-2788.0,368,1132.953432
-3178.0,368,1137.892579
-2727.0,367,1142.683835
-2801.0,368,1147.461503
-2938.0,367,1157.087195
-2837.0,368,1162.108063
-2725.0,368,1178.221523
-2846.0,367,1184.136514
-2882.0,367,1189.336996
-2995.0,367,1199.181883
-2957.0,367,1203.999816
-2809.0,367,1208.885515
-3076.0,367,1213.661692
-2996.0,367,1218.534649
-2803.0,367,1223.496501
-2626.0,367,1233.171586
-2895.0,367,1248.379745
-2777.0,367,1253.339404
-2847.0,367,1258.253652
-2907.0,367,1263.023631
-2836.0,367,1272.398365
-2845.0,367,1277.151728
-2834.0,367,1282.117214
-2926.0,367,1287.025244
-2688.0,367,1291.815076
-2869.0,367,1296.855146
-2919.0,368,1313.307897
-2830.0,368,1330.376777
-2685.0,367,1335.30624
-3078.0,368,1340.133548
-2891.0,368,1345.143708
-2786.0,367,1357.454172
-2853.0,368,1363.148129
-2933.0,367,1368.334129
-2953.0,368,1373.464123
-3001.0,367,1378.436924
-2809.0,368,1383.212925
-2865.0,367,1403.487648
-2799.0,367,1409.388765
-2838.0,367,1415.071735
-2806.0,368,1420.862504
-3004.0,368,1426.531064
-3033.0,367,1432.553863
-2990.0,368,1529.859168
-3073.0,367,1535.063814
-3319.0,368,1540.415862
-2977.0,368,1545.640947
-2914.0,367,1566.628807
-2856.0,367,1577.670202
-2917.0,368,1583.104963
-2799.0,368,1589.473183
-2910.0,367,1594.70993
-3147.0,367,1599.881653
-2834.0,367,1605.213637
-2936.0,367,1616.401781
-2770.0,367,1621.737717
-2798.0,367,1627.169334
-3015.0,367,1648.728867
-2836.0,367,1654.017013
