#{"t_start": 1745725328.0006409, "env_id": "None"}
r,l,t
-5577.0,370,8.819729
-7977.0,368,13.428631
-6681.0,374,18.626797
-5676.0,369,23.250205
-6389.0,368,28.430279
-7905.0,367,38.683869
-6570.0,369,43.208682
-6404.0,367,47.687556
-9013.0,368,52.919874
-6390.0,367,57.538013
-6275.0,370,77.426098
-6560.0,367,86.952891
-6958.0,370,92.199936
-6940.0,370,98.075122
-7524.0,369,103.282476
-6369.0,370,107.909632
-6129.0,372,117.552516
-6908.0,369,122.685733
-6108.0,370,127.915149
-8689.0,368,133.079425
-8943.0,370,152.867748
-6088.0,368,158.092066
-6186.0,369,168.50687
-8426.0,369,173.151994
-6236.0,368,177.644081
-6974.0,368,182.896442
-6035.0,371,188.168289
-6835.0,370,198.652091
-5772.0,368,203.238137
-6111.0,369,208.388393
-6478.0,369,228.774661
-7089.0,368,233.316896
-5723.0,368,237.834296
-5333.0,367,247.52598
-7881.0,370,252.679034
-6903.0,370,257.868511
-8147.0,368,263.069915
-4687.0,369,268.181056
-5265.0,370,278.497686
-6946.0,367,282.996869
-5019.0,370,303.664046
-4654.0,368,308.926282
-5546.0,368,314.160741
-4304.0,369,319.417715
-6520.0,367,329.748006
-4973.0,369,334.961324
-5662.0,370,340.228401
-4714.0,369,344.788458
-4865.0,367,350.001786
-6837.0,370,360.271103
-4757.0,369,380.517418
-3949.0,368,385.819498
-4117.0,367,391.019808
-4499.0,368,396.152819
-5345.0,367,401.264991
-4898.0,367,411.264063
-4196.0,369,416.440311
-3806.0,368,421.603619
-3937.0,369,426.712388
-4037.0,368,431.823884
-4042.0,369,437.016087
-3378.0,369,462.281615
-3578.0,369,467.519849
-3344.0,369,472.725524
-3212.0,367,477.899976
-4178.0,367,483.051932
-3225.0,367,493.225279
-2969.0,367,498.484792
-3347.0,369,503.662681
-3367.0,369,508.976402
-3720.0,369,514.172739
-2984.0,369,534.453403
-2931.0,369,544.811637
-3294.0,368,550.042521
-3119.0,367,555.252747
-3305.0,367,560.383011
-2967.0,369,565.57988
-2860.0,370,575.814466
-3181.0,369,580.998008
-3211.0,369,586.269742
-3274.0,369,591.502208
-3268.0,369,611.772807
-2738.0,369,616.936709
-3145.0,369,627.109106
-2774.0,368,632.257804
-2865.0,368,637.483745
-3084.0,368,642.638107
-2995.0,368,647.771617
-2781.0,367,658.021757
-2862.0,369,663.146976
-2897.0,367,668.35011
-2849.0,369,688.211726
-2774.0,367,693.320855
-2979.0,368,698.537587
-2916.0,368,708.665491
-2823.0,368,713.923665
-2755.0,367,719.228238
-2520.0,367,724.412601
-3016.0,369,729.66682
-2994.0,369,734.881642
-2645.0,367,745.209996
-2808.0,368,765.531567
-2858.0,368,770.74174
-2933.0,368,775.932731
-2745.0,369,781.161913
-3206.0,369,791.303529
-2848.0,369,796.400512
-2810.0,367,801.550944
-2729.0,367,806.647744
-2712.0,369,811.810796
-2778.0,367,817.028839
-2984.0,368,842.153519
-2904.0,367,847.394577
-3059.0,368,852.556811
-2883.0,367,857.694834
-2977.0,367,862.89085
-2764.0,367,872.962579
-2788.0,368,878.164718
-2906.0,367,883.398517
-2967.0,369,888.706063
-2824.0,367,893.905832
-2854.0,367,899.189291
-2973.0,368,924.676642
-2935.0,369,929.992853
-2885.0,367,935.183971
-2882.0,367,940.507421
-2811.0,368,947.610518
-2938.0,367,965.324682
-2896.0,367,973.085198
-2763.0,367,980.786035
-2629.0,368,988.448408
-3103.0,368,996.235782
-2813.0,367,1031.216829
-2839.0,367,1045.367075
-2791.0,367,1050.298527
-2919.0,368,1055.416931
-2781.0,367,1061.142631
-2827.0,367,1065.940981
-2799.0,367,1071.316651
-2626.0,367,1081.186351
-2888.0,367,1085.935367
-2687.0,367,1090.815878
-2957.0,367,1106.078083
-2940.0,368,1111.004948
-2721.0,367,1120.941792
-2936.0,367,1125.904936
-2851.0,367,1130.885491
-2875.0,367,1135.841038
-2694.0,367,1140.630226
-2868.0,367,1145.41666
-2814.0,367,1155.0279
-2794.0,368,1160.04949
-2842.0,368,1175.990405
-2938.0,368,1181.949749
-2836.0,367,1187.275463
-2931.0,367,1197.141069
-2960.0,367,1201.95905
-2877.0,367,1206.840992
-2873.0,367,1211.636156
-2698.0,367,1216.486208
-2928.0,367,1221.438575
-2947.0,367,1231.127723
-2823.0,367,1246.32938
-2827.0,367,1251.287318
-2906.0,368,1256.22297
-2909.0,368,1260.992992
-2679.0,367,1270.38288
-2893.0,367,1275.113965
-2732.0,367,1280.073913
-2826.0,367,1285.006927
-2807.0,367,1289.798421
-2804.0,367,1294.771839
-2867.0,367,1311.09993
-2825.0,368,1328.337516
-2974.0,368,1333.243408
-2894.0,367,1338.090898
-2844.0,368,1343.095294
-2850.0,368,1348.395402
-2737.0,367,1361.01403
-2951.0,367,1366.213782
-2892.0,367,1371.380687
-2778.0,367,1376.411765
-2885.0,368,1381.168777
-2911.0,367,1401.403796
-2819.0,367,1407.240433
-2915.0,367,1412.913822
-2823.0,367,1418.644555
-2799.0,367,1424.374709
-2836.0,367,1430.308859
-2962.0,367,1527.749631
-2855.0,367,1532.878082
-2993.0,367,1538.236096
-2929.0,367,1543.455837
-2887.0,367,1564.41677
-2765.0,368,1575.516892
-3098.0,367,1580.926126
-2809.0,367,1587.114882
-2797.0,367,1592.571884
-2839.0,367,1597.749135
-2807.0,368,1603.065426
-2892.0,368,1614.24987
-2772.0,369,1619.627872
-2772.0,367,1625.022281
-2867.0,367,1646.557482
-2685.0,368,1651.882359
