#{"t_start": 1744970338.029641, "env_id": "None"}
r,l,t
-60991.0,718,7.05022
-52789.0,718,12.07802
-54433.0,718,21.727105
-58795.0,718,41.144481
-46861.0,718,45.626302
-51527.0,718,53.58987
-45422.0,718,72.082273
-56818.0,718,76.141595
-48328.0,718,83.753222
-44871.0,718,87.766512
-59185.0,718,105.327168
-54636.0,718,112.958072
-52351.0,718,116.922404
-46114.0,718,134.393538
-49343.0,718,141.960777
-57216.0,718,146.027572
-48607.0,718,149.990168
-53588.0,718,171.214613
-46539.0,718,175.259483
-51900.0,718,182.847618
-57421.0,718,200.581214
-49014.0,718,204.549846
-56705.0,718,212.164808
-46352.0,718,216.0509
-49127.0,718,248.856024
-57306.0,718,257.357289
-55785.0,718,261.82294
-49954.0,718,284.275055
-51784.0,718,292.944881
-50796.0,718,297.523717
-52442.0,718,302.191523
-59405.0,718,328.000749
-57586.0,718,332.922318
-50371.0,718,337.694538
-54105.0,718,367.240419
-50459.0,718,371.616873
-48314.0,718,375.967202
