#{"t_start": 1744970338.029641, "env_id": "None"}
r,l,t
-55423.0,718,7.05022
-56330.0,718,12.07802
-50937.0,718,21.727105
-58647.0,718,41.145512
-55646.0,718,45.626302
-52299.0,718,53.58987
-52377.0,718,72.082273
-47560.0,718,76.141595
-54213.0,718,83.753222
-47947.0,718,87.766512
-57907.0,718,105.327168
-53266.0,718,112.958072
-49749.0,718,116.922404
-53901.0,718,134.393538
-48004.0,718,141.960777
-49517.0,718,146.027572
-53899.0,718,149.990168
-48152.0,718,171.214613
-54749.0,718,175.259483
-51219.0,718,182.847618
-50003.0,718,200.581214
-58176.0,718,204.549846
-53397.0,718,212.164808
-55284.0,718,216.0509
-48909.0,718,248.856024
-46609.0,718,257.357289
-45964.0,718,261.82294
-40926.0,718,284.275055
-51998.0,718,292.944881
-49436.0,718,297.523717
-53842.0,718,302.191523
-51199.0,718,328.000749
-50345.0,718,332.922318
-51577.0,718,337.694538
-48938.0,718,367.240419
-47372.0,718,371.616873
-49708.0,718,375.967202
