#{"t_start": 1744970340.9681976, "env_id": "None"}
r,l,t
-47987.0,718,25.069118
-47077.0,718,27.999287
-46544.0,718,30.979743
-46947.0,718,33.455999
-47257.0,718,36.051171
-47460.0,718,57.807896
-47777.0,718,60.71556
-48046.0,718,63.245374
-48619.0,718,65.902239
-45949.0,718,68.434016
-47183.0,718,90.281913
-47176.0,718,92.845587
-47602.0,718,95.205785
-47429.0,718,97.550951
-47864.0,718,100.34784
-46771.0,718,120.661923
-45653.0,718,123.084802
-47112.0,718,125.511591
-47321.0,718,127.897373
-47069.0,718,130.643613
-47139.0,718,155.363938
-47098.0,718,157.694096
-47129.0,718,160.492131
-48329.0,718,163.275511
-46117.0,718,166.044863
-46939.0,718,185.988291
-46227.0,718,188.331962
-47827.0,718,191.178694
-45867.0,718,193.972168
-47137.0,718,196.7681
-46124.0,718,229.621398
-46332.0,718,233.163154
-46013.0,718,236.49162
-47282.0,718,240.134856
-48346.0,718,243.308247
-45612.0,718,266.50668
-46713.0,718,270.014834
-46965.0,718,273.072577
-46409.0,718,276.644865
-47974.0,718,280.321328
-45541.0,718,304.737345
-48228.0,718,308.125018
-47002.0,718,311.461903
-46412.0,718,314.631688
-46828.0,718,317.990652
-47773.0,718,345.8994
-47317.0,718,350.419567
-48243.0,718,355.094783
-47102.0,718,358.959189
-46922.0,718,363.16321
