#{"t_start": 1744970338.029641, "env_id": "None"}
r,l,t
-42117.0,718,7.049075
-53731.0,718,12.07802
-57711.0,718,21.727105
-47796.0,718,41.144481
-49818.0,718,45.626302
-55400.0,718,53.58987
-62484.0,718,72.082273
-52703.0,718,76.140594
-50593.0,718,83.752052
-49168.0,718,87.766512
-59740.0,718,105.327168
-52994.0,718,112.958072
-47514.0,718,116.922404
-43811.0,718,134.393538
-50592.0,718,141.960777
-57387.0,718,146.027572
-43098.0,718,149.990168
-45580.0,718,171.214613
-48874.0,718,175.259483
-47470.0,718,182.847618
-53002.0,718,200.581214
-59069.0,718,204.549846
-53266.0,718,212.164808
-58673.0,718,216.0509
-52401.0,718,248.856024
-60829.0,718,257.357289
-46507.0,718,261.82294
-56897.0,718,284.273753
-43733.0,718,292.943485
-53762.0,718,297.523717
-47290.0,718,302.191523
-51275.0,718,328.000749
-48158.0,718,332.922318
-50435.0,718,337.694538
-56467.0,718,367.240419
-44228.0,718,371.616873
-51735.0,718,375.967202
