#{"t_start": 1744691991.6865807, "env_id": "None"}
r,l,t
-18092937.0,718,53.593409
-17408977.0,718,59.884142
-19583555.0,718,66.249337
-18666621.0,718,72.567216
-18333267.0,718,79.129158
-19582999.0,718,106.520648
-20220113.0,718,113.562429
-19582136.0,718,120.187352
-19536269.0,718,127.005582
-17774667.0,718,134.468119
-68212.0,718,156.749792
-68141.0,718,159.553905
-68521.0,718,162.645582
-68877.0,718,165.893656
-66976.0,718,168.955292
-66847.0,718,189.450879
-66893.0,718,192.550772
-66446.0,718,195.747202
-66284.0,718,198.786289
-69228.0,718,201.556874
-68129.0,718,228.116962
-70613.0,718,231.12109
-67535.0,718,233.808718
-67571.0,718,236.417752
-69189.0,718,239.154362
-68927.0,718,260.438272
-65229.0,718,263.044548
-69167.0,718,265.88561
-68668.0,718,268.539312
-66450.0,718,271.210421
-66730.0,718,293.328234
-67181.0,718,295.955117
-68992.0,718,298.560518
-68398.0,718,301.488958
-67829.0,718,304.161963
-69007.0,718,325.356369
-68037.0,718,327.962523
-68665.0,718,330.715942
-67756.0,718,333.409171
-67761.0,718,336.027588
-67583.0,718,358.230191
-67771.0,718,361.262307
-68378.0,718,364.106396
-67967.0,718,366.921811
-68083.0,718,369.584328
-69022.0,718,394.477813
-69578.0,718,397.155927
-67191.0,718,399.856745
-67602.0,718,402.936126
-66593.0,718,406.045012
