#{"t_start": 1744691984.429215, "env_id": "None"}
r,l,t
-92824.0,718,21.029854
-94530.0,718,31.053257
-98299.0,718,47.159168
-92030.0,718,88.356246
-87542.0,718,92.841638
-103675.0,718,101.421792
-88522.0,718,142.429239
-96545.0,718,146.799174
-93907.0,718,154.354707
-91527.0,718,158.564244
-87213.0,718,178.24616
-95863.0,718,185.729513
-84698.0,718,189.966941
-85709.0,718,209.597832
-97952.0,718,217.564971
-89828.0,718,221.672366
-93975.0,718,225.810439
-91267.0,718,248.580251
-75636.0,718,252.622015
-93962.0,718,260.301863
-85452.0,718,279.340789
-88875.0,718,283.392227
-85155.0,718,290.996407
-95576.0,718,295.400162
-100776.0,718,313.767173
-88081.0,718,321.678386
-85872.0,718,326.071259
-95073.0,718,344.228477
-91144.0,718,352.204317
-90040.0,718,356.516337
-91558.0,718,360.64113
-85640.0,718,383.424851
-88409.0,718,387.670284
-81912.0,718,391.72967
-87019.0,718,414.361396
-92024.0,718,418.701729
-83932.0,718,422.736786
