#{"t_start": 1744691984.429215, "env_id": "None"}
r,l,t
-91512.0,718,21.027839
-99805.0,718,31.053257
-80728.0,718,47.159168
-83720.0,718,88.356246
-99976.0,718,92.841638
-97079.0,718,101.421792
-94252.0,718,142.429239
-81338.0,718,146.799174
-98083.0,718,154.354707
-82723.0,718,158.564244
-94658.0,718,178.24616
-83911.0,718,185.729513
-90168.0,718,189.966941
-107952.0,718,209.597832
-92168.0,718,217.564971
-84845.0,718,221.672366
-91636.0,718,225.811438
-93598.0,718,248.58143
-78351.0,718,252.622015
-85218.0,718,260.301863
-91223.0,718,279.342387
-82824.0,718,283.392227
-86777.0,718,290.996407
-87677.0,718,295.400162
-89866.0,718,313.767173
-75862.0,718,321.680873
-93000.0,718,326.071259
-79890.0,718,344.228477
-81928.0,718,352.204317
-93353.0,718,356.516337
-90167.0,718,360.64113
-90686.0,718,383.424851
-89569.0,718,387.670284
-99990.0,718,391.72967
-97974.0,718,414.361396
-88526.0,718,418.701729
-81575.0,718,422.736786
