#{"t_start": 1745267135.283839, "env_id": "None"}
r,l,t
-7408.0,720,16.563586
-7416.0,720,21.768021
-5596.0,720,34.226724
-8477.0,720,39.951344
-6312.0,720,44.73542
-7682.0,720,71.439264
-7235.0,720,76.595477
-8559.0,720,80.971062
-5517.0,720,93.357747
-7584.0,720,99.533257
-7201.0,720,122.130672
-9387.0,720,134.122195
-6964.0,720,138.640797
-8057.0,720,143.371408
-7281.0,720,153.625749
-6124.0,720,174.930988
-6685.0,720,179.974623
-6317.0,720,191.235459
-6027.0,720,195.896722
-8595.0,720,206.50199
-6742.0,720,227.554716
-8211.0,720,232.016079
-6591.0,720,241.587718
-5972.0,720,246.371041
-6522.0,720,250.917273
-7645.0,720,262.67997
-8186.0,720,286.506161
-7760.0,720,291.954885
-7915.0,720,302.454652
-6518.0,720,307.062671
-7784.0,720,311.482558
-4984.0,720,336.521319
-8674.0,720,340.719102
-6019.0,720,344.944757
-6435.0,720,354.144389
-5832.0,720,358.617416
-5059.0,720,389.566533
-5065.0,720,395.922549
-6454.0,720,402.626189
-5620.0,720,417.643733
-5474.0,720,424.814635
-6286.0,720,450.064977
-4724.0,720,463.228784
-4354.0,720,468.553963
-5698.0,720,474.560576
-5094.0,720,487.552488
-3799.0,720,511.618477
-5600.0,720,517.335221
-4167.0,720,531.591581
-4785.0,720,537.041274
-3680.0,720,542.572423
-3520.0,720,555.720523
-3825.0,720,580.239468
-3547.0,720,585.803675
-4035.0,720,598.933383
-4001.0,720,604.353884
-3746.0,720,617.449044
-3314.0,720,641.834693
-3668.0,720,647.218726
-4271.0,720,660.471971
-3679.0,720,666.263166
-3429.0,720,672.595843
-3629.0,720,709.089773
-3678.0,720,715.791149
-3262.0,720,721.644185
-3336.0,720,736.911724
-3506.0,720,742.83547
-3287.0,720,767.398265
-3152.0,720,782.314682
-3311.0,720,788.200028
-3234.0,720,793.89184
-3025.0,720,807.445168
-3145.0,720,833.219634
-3164.0,720,846.151561
-3408.0,720,851.665303
-3333.0,720,857.034884
-3180.0,720,870.108224
-3012.0,720,875.432382
-3480.0,720,899.811445
-3176.0,720,912.670798
-3325.0,720,918.050617
-3282.0,720,923.744661
-2939.0,720,937.001162
-2994.0,720,961.240062
-3254.0,720,967.597427
-3164.0,720,980.731138
-3037.0,720,986.393869
-3361.0,720,991.735703
-3304.0,720,1023.879408
-2762.0,720,1030.122994
-3279.0,720,1035.64369
-3279.0,720,1048.574007
-2737.0,720,1053.892233
-3287.0,720,1084.613431
-3183.0,720,1090.040507
-3295.0,720,1095.373507
-3089.0,720,1109.463723
-2988.0,720,1115.243388
-2961.0,720,1136.921456
-3334.0,720,1148.238902
-3089.0,720,1153.146103
-3501.0,720,1158.111196
-3124.0,720,1170.727791
-3131.0,720,1175.324657
-3430.0,720,1198.106638
