#{"t_start": 1745267135.283839, "env_id": "None"}
r,l,t
-5878.0,720,16.563586
-10088.0,720,21.769021
-6451.0,720,34.226724
-6464.0,720,39.951344
-8868.0,720,44.73542
-7181.0,720,71.441266
-6924.0,720,76.595477
-6864.0,720,80.971062
-6319.0,720,93.356605
-7449.0,720,99.533257
-6561.0,720,122.130672
-8393.0,720,134.12169
-5870.0,720,138.642225
-8752.0,720,143.371408
-9049.0,720,153.625749
-6600.0,720,174.931987
-7392.0,720,179.974623
-8926.0,720,191.235459
-7893.0,720,195.896722
-6268.0,720,206.50199
-9199.0,720,227.554716
-7008.0,720,232.016079
-6250.0,720,241.586559
-6634.0,720,246.371041
-6662.0,720,250.917273
-7487.0,720,262.67997
-5483.0,720,286.506161
-8664.0,720,291.954885
-5790.0,720,302.454652
-7478.0,720,307.062671
-7089.0,720,311.481096
-6775.0,720,336.52032
-4779.0,720,340.719102
-5677.0,720,344.944757
-7838.0,720,354.143389
-4934.0,720,358.617416
-5810.0,720,389.566533
-7242.0,720,395.921543
-8221.0,720,402.625188
-5588.0,720,417.643733
-5668.0,720,424.813635
-4704.0,720,450.064977
-7971.0,720,463.228784
-4127.0,720,468.553963
-5231.0,720,474.560576
-4252.0,720,487.552488
-5890.0,720,511.618477
-4746.0,720,517.335221
-3908.0,720,531.591581
-4109.0,720,537.041274
-4278.0,720,542.572423
-4622.0,720,555.720523
-3891.0,720,580.239468
-3606.0,720,585.803675
-3944.0,720,598.933383
-3709.0,720,604.352875
-3532.0,720,617.449044
-3440.0,720,641.834693
-3585.0,720,647.218726
-3212.0,720,660.471971
-3314.0,720,666.263166
-3441.0,720,672.596843
-4155.0,720,709.089773
-2977.0,720,715.791149
-3431.0,720,721.644185
-3489.0,720,736.911724
-2996.0,720,742.83547
-3413.0,720,767.397264
-3209.0,720,782.314682
-3244.0,720,788.200028
-3174.0,720,793.889836
-3647.0,720,807.445168
-3542.0,720,833.218626
-3130.0,720,846.151561
-3142.0,720,851.665303
-3033.0,720,857.034884
-3197.0,720,870.108224
-3137.0,720,875.432382
-3095.0,720,899.811445
-2881.0,720,912.670798
-3116.0,720,918.050617
-3051.0,720,923.744661
-3422.0,720,937.001162
-2956.0,720,961.240062
-3207.0,720,967.596426
-3195.0,720,980.729869
-3171.0,720,986.393869
-3247.0,720,991.735703
-3397.0,720,1023.879408
-3106.0,720,1030.122994
-3150.0,720,1035.644697
-3199.0,720,1048.574007
-2931.0,720,1053.893334
-3304.0,720,1084.613431
-3111.0,720,1090.040507
-3182.0,720,1095.373507
-3313.0,720,1109.464765
-3266.0,720,1115.243388
-2940.0,720,1136.921456
-2949.0,720,1148.238902
-3356.0,720,1153.146103
-3487.0,720,1158.111196
-3115.0,720,1170.727791
-3073.0,720,1175.324657
-3503.0,720,1198.106638
