#{"t_start": 1746325792.8528664, "env_id": "None"}
r,l,t
-10429.0,368,6.379534
-7518.0,367,10.892117
-6852.0,370,15.244314
-8909.0,368,21.888436
-7937.0,367,28.507037
-9371.0,369,40.392754
-7779.0,372,45.575457
-10661.0,369,50.07132
-9797.0,369,55.122111
-10510.0,371,60.219491
-10738.0,368,77.032308
-10768.0,368,87.852643
-7038.0,373,92.921239
-9972.0,371,98.187787
-8189.0,367,102.783257
-12096.0,369,108.12291
-8574.0,372,119.179931
-9402.0,370,125.179018
-8252.0,369,130.422954
-9919.0,367,134.901389
-9031.0,369,150.879395
-9296.0,369,155.245208
-10133.0,371,165.018102
-7917.0,368,169.429922
-7905.0,369,174.418115
-8770.0,369,179.388764
-8673.0,368,184.297903
-6661.0,369,194.224141
-9724.0,367,198.7967
-7558.0,367,204.132721
-11667.0,372,222.177789
-7255.0,370,226.96259
-8231.0,369,231.741489
-9418.0,369,243.372662
-9140.0,377,250.240384
-11411.0,372,255.726822
-9127.0,369,261.225936
-6951.0,370,266.706039
-8700.0,370,278.248726
-10744.0,369,283.762463
-9410.0,369,299.393432
-7918.0,369,304.532829
-9142.0,372,310.326618
-9127.0,369,315.810582
-8348.0,370,326.296737
-8528.0,370,331.408349
-7855.0,371,336.457637
-8185.0,369,341.582337
-9799.0,368,346.622962
-10707.0,369,356.908982
-7003.0,369,374.020512
-6217.0,369,379.368336
-6606.0,368,384.649696
-7023.0,369,389.8609
-9594.0,369,395.072025
-6775.0,369,405.680425
-9283.0,368,410.85698
-7732.0,368,416.028697
-7987.0,369,420.606865
-8237.0,369,425.778464
-8532.0,371,447.272851
-5384.0,369,452.314079
-6860.0,371,457.391297
-7032.0,369,461.796347
-6336.0,368,466.960806
-6354.0,369,472.059634
-6379.0,369,482.363
-7159.0,369,487.613718
-5817.0,368,492.670443
-6253.0,369,497.710458
-6431.0,370,502.793789
-5985.0,367,519.559553
-5674.0,368,530.291849
-6426.0,368,535.376218
-5362.0,368,540.41987
-5254.0,368,546.031821
-4875.0,367,551.713887
-5657.0,369,562.008424
-4205.0,367,566.975776
-4806.0,368,572.453059
-5361.0,370,577.930868
-4608.0,369,594.836076
-3860.0,368,600.041101
-4612.0,370,610.068063
-4079.0,368,615.166042
-4181.0,369,620.293036
-4184.0,368,625.354146
-4682.0,369,630.271107
-4167.0,369,640.235157
-4286.0,369,645.362957
-3622.0,369,650.855187
-3755.0,369,667.347698
-3751.0,368,672.424816
-4109.0,369,677.557155
-3603.0,369,687.966553
-3803.0,368,692.931328
-4407.0,367,697.912927
-3707.0,369,703.016351
-3955.0,369,708.542985
-3810.0,368,718.904118
-3539.0,368,724.064747
-3911.0,368,740.489925
-4197.0,369,745.663677
-4335.0,369,750.691162
-4086.0,367,755.492366
-3767.0,368,764.247136
-3819.0,369,768.849414
-3774.0,369,773.464185
-3526.0,368,778.200202
-3822.0,369,782.801988
-3269.0,368,787.446449
-3690.0,368,806.37525
-3643.0,369,810.94183
-3766.0,368,815.535808
-3864.0,368,820.126548
-3532.0,367,824.701349
-3632.0,368,833.488579
-3483.0,367,838.065857
-3968.0,369,842.653175
-3531.0,368,847.270577
-3421.0,368,851.850524
-3733.0,368,866.012229
-3556.0,367,874.804448
-3627.0,368,879.410532
-3297.0,369,883.988594
-3345.0,368,888.567277
-3845.0,367,893.137002
-3908.0,367,901.868057
-3533.0,368,906.469828
-3513.0,367,911.047548
-3754.0,367,915.621302
-3669.0,368,920.2018
-3545.0,367,934.636889
-3432.0,368,943.359158
-3480.0,367,947.966176
-3479.0,368,952.543884
-3515.0,368,957.115744
-3393.0,367,961.669094
-3499.0,367,970.356504
-3582.0,367,974.94141
-3768.0,367,979.550035
-3378.0,367,984.14469
-3403.0,369,998.364186
-3578.0,368,1002.954511
-3621.0,367,1011.663003
-3365.0,368,1016.249824
-3426.0,368,1020.82993
-3200.0,367,1025.392025
-3317.0,367,1029.940186
-3606.0,367,1034.5162
-3616.0,367,1043.24056
-3417.0,367,1047.801483
-3523.0,367,1061.939609
-3311.0,367,1066.518697
-3664.0,367,1071.091791
-3609.0,368,1079.796325
-3341.0,367,1084.374449
-3520.0,367,1088.955818
-3598.0,367,1093.532873
-3561.0,367,1098.104387
-3425.0,367,1102.699783
-3508.0,367,1111.424869
-3679.0,367,1125.529529
-3462.0,367,1130.126874
-3562.0,367,1134.722465
-3556.0,367,1139.325286
-3595.0,367,1148.056354
-3304.0,367,1152.675391
-3606.0,367,1157.232523
-3493.0,367,1161.811056
-3748.0,367,1166.40196
-3710.0,367,1170.975327
-3565.0,367,1179.745361
-3488.0,367,1193.925843
-3500.0,369,1198.514726
-3369.0,367,1203.077423
-3290.0,368,1207.778203
-3518.0,367,1217.156082
-3535.0,367,1221.739442
-3414.0,367,1226.331592
-3492.0,368,1230.920215
-3621.0,367,1235.494991
-3611.0,367,1240.087757
-3662.0,367,1258.392779
-3571.0,367,1262.954952
-3410.0,367,1267.51207
-3483.0,367,1272.071173
-3372.0,368,1276.648268
-3513.0,367,1281.238387
-3593.0,367,1289.97117
-3581.0,369,1294.572306
-3423.0,367,1299.143255
-3589.0,367,1303.70865
-3581.0,367,1317.849994
-3564.0,367,1326.526505
-3402.0,368,1331.099518
-3438.0,367,1335.656669
-3491.0,367,1340.204374
-3564.0,367,1344.794706
-3646.0,367,1349.360938
-3570.0,367,1358.109695
-3343.0,367,1362.672761
-3322.0,367,1367.238808
-3546.0,367,1381.393128
-3501.0,367,1385.965351
