#{"t_start": 1746325796.1445608, "env_id": "None"}
r,l,t
-22620.0,371,61.781556
-23438.0,370,64.040486
-23504.0,370,66.246831
-23566.0,370,68.461064
-23101.0,370,70.656404
-26133.0,373,135.690431
-26817.0,373,137.844145
-25584.0,373,139.908131
-25157.0,373,141.974419
-25255.0,373,144.046295
-25225.0,373,207.134761
-24621.0,373,209.511439
-25000.0,373,211.948108
-25471.0,373,214.34404
-24821.0,373,216.719357
-24894.0,373,285.524983
-25171.0,373,287.593624
-24583.0,373,289.663105
-26076.0,373,291.75383
-24973.0,373,293.843774
-3399.0,367,359.210154
-3427.0,367,361.437897
-3433.0,367,363.653763
-3555.0,367,365.882023
-3328.0,367,368.096611
-3240.0,367,428.916152
-3491.0,367,431.030617
-3593.0,367,433.069976
-3512.0,367,435.195013
-3109.0,367,437.292287
-3343.0,367,503.565501
-3351.0,367,505.717872
-3659.0,367,507.795305
-3511.0,367,509.953022
-3668.0,367,512.21002
-3273.0,367,579.830007
-3734.0,367,581.990646
-3578.0,367,584.164641
-3449.0,367,586.241201
-3425.0,367,588.345185
-3577.0,367,652.707843
-3663.0,367,654.751652
-3436.0,367,656.868505
-3682.0,367,658.951195
-3512.0,367,661.264523
-3529.0,367,726.467616
-3539.0,367,728.53019
-3400.0,367,730.633985
-3485.0,367,732.786765
-3603.0,368,734.932558
-3786.0,367,793.654268
-3664.0,367,795.606226
-3638.0,367,797.8086
-3514.0,368,799.620137
-3551.0,367,801.418797
-3515.0,367,854.915366
-3646.0,368,856.70375
-3235.0,367,858.489057
-3583.0,367,860.268814
-3401.0,367,862.063706
-3374.0,367,920.953015
-3664.0,367,922.741492
-3477.0,368,924.625748
-3421.0,367,926.548971
-3462.0,367,928.326838
-3765.0,367,985.327714
-3510.0,367,987.110198
-3680.0,367,988.884757
-3586.0,367,990.647504
-3732.0,367,992.507628
-3558.0,367,1049.457836
-3299.0,367,1051.227139
-3534.0,367,1053.005607
-3544.0,367,1054.774075
-3313.0,367,1056.549373
-3741.0,367,1113.502188
-3703.0,368,1115.277297
-3534.0,367,1117.061733
-3266.0,367,1118.827932
-3400.0,367,1120.614453
-3570.0,367,1179.542043
-3716.0,367,1181.337416
-3488.0,367,1183.119487
-3424.0,367,1184.890278
-3331.0,367,1186.674393
-3346.0,367,1240.928353
-3405.0,367,1242.70073
-3696.0,367,1244.489192
-3597.0,367,1246.248407
-3691.0,368,1248.050636
-3539.0,367,1304.985335
-3812.0,367,1306.774997
-3523.0,368,1308.557532
-3636.0,367,1310.350827
-3441.0,367,1312.128428
-3597.0,367,1369.008474
-3698.0,367,1370.780833
-3640.0,367,1372.560443
-3447.0,367,1374.350734
-3403.0,367,1376.133828
