#{"t_start": 1746325792.8528664, "env_id": "None"}
r,l,t
-8349.0,369,7.015803
-13344.0,368,11.526752
-10261.0,374,16.933065
-9160.0,370,23.381367
-10547.0,369,29.899644
-8069.0,369,41.672664
-9401.0,370,46.850588
-14096.0,377,52.015249
-8440.0,376,57.156807
-7571.0,373,62.212051
-7779.0,371,79.106213
-6874.0,368,89.898294
-7802.0,368,94.901791
-7429.0,369,99.546361
-9424.0,373,104.847368
-10090.0,368,109.579339
-9268.0,368,120.647966
-7263.0,370,125.931113
-7457.0,371,131.189925
-11003.0,369,135.669757
-9378.0,369,151.661968
-8345.0,369,156.023527
-7802.0,369,165.798023
-6315.0,368,170.80561
-9832.0,368,175.788497
-9700.0,371,180.761339
-9621.0,367,185.69713
-7043.0,370,195.604941
-7366.0,369,200.892897
-9132.0,373,206.211299
-9048.0,369,223.645222
-7369.0,370,228.434231
-9007.0,370,233.850335
-8131.0,368,245.470959
-7058.0,368,251.018301
-6925.0,370,256.485715
-8466.0,369,261.999753
-8913.0,369,267.457574
-7903.0,370,279.002752
-9065.0,369,284.553052
-9464.0,368,300.725693
-9292.0,371,305.880137
-11234.0,368,311.047745
-10553.0,371,316.525548
-6885.0,367,326.998388
-7134.0,375,332.134452
-7389.0,371,337.193223
-7436.0,368,342.303433
-6809.0,368,347.338351
-7156.0,367,357.637188
-7269.0,370,374.735399
-6569.0,371,380.097271
-8857.0,372,385.411762
-9156.0,367,390.604558
-7901.0,369,395.819702
-6928.0,370,406.437778
-8644.0,367,411.598083
-6363.0,369,416.771814
-9078.0,369,421.966757
-7345.0,370,427.15454
-6915.0,368,448.620142
-5729.0,368,453.667763
-6367.0,368,458.099396
-6414.0,370,463.12734
-5730.0,369,468.301728
-9020.0,369,473.394187
-4874.0,368,483.690351
-5192.0,369,488.944214
-4941.0,369,493.996569
-5512.0,370,499.045008
-5934.0,371,504.152138
-5986.0,371,520.970656
-5165.0,367,531.683418
-4676.0,368,536.736677
-4724.0,369,541.807557
-5696.0,369,547.493498
-4976.0,368,553.187904
-4426.0,368,563.408024
-4793.0,368,568.381869
-4871.0,369,573.897696
-4433.0,369,579.366769
-4951.0,368,596.229847
-4229.0,369,601.416216
-4406.0,370,611.456969
-4908.0,368,616.554771
-4238.0,367,621.660532
-4539.0,369,626.71546
-4179.0,368,631.632343
-4099.0,368,641.589888
-4275.0,367,646.700635
-3843.0,368,652.229751
-4236.0,369,668.69796
-3973.0,368,673.7792
-4386.0,368,678.904191
-3634.0,369,689.320695
-4082.0,368,694.26621
-3817.0,367,699.259992
-4004.0,368,704.390412
-4199.0,369,709.9049
-3855.0,367,720.227051
-4128.0,367,725.405437
-4118.0,368,741.859289
-4023.0,367,746.991551
-4031.0,367,752.011014
-3883.0,368,756.785203
-3761.0,368,765.542509
-4023.0,369,770.142304
-3489.0,368,774.775836
-4196.0,369,779.496282
-4018.0,369,784.082389
-3506.0,368,792.860379
-3528.0,369,807.675998
-3368.0,368,812.221586
-3487.0,368,816.821204
-4066.0,369,821.433882
-3882.0,369,826.016915
-4348.0,370,834.81833
-3750.0,368,839.394847
-3442.0,367,843.972247
-3662.0,368,848.581012
-3399.0,368,853.164848
-3435.0,367,867.325621
-3735.0,367,876.120759
-3647.0,367,880.704283
-3501.0,367,885.282793
-3415.0,368,889.845792
-4324.0,369,894.450788
-3784.0,367,903.188993
-3639.0,369,907.766793
-3310.0,367,912.362121
-3486.0,368,916.937571
-3316.0,368,921.5163
-3509.0,369,935.970902
-3754.0,367,944.683424
-3470.0,367,949.284046
-3302.0,367,953.861449
-3268.0,369,958.422089
-3371.0,367,962.975631
-3410.0,367,971.67475
-3906.0,367,976.268998
-3321.0,368,980.884491
-3535.0,367,985.469799
-3444.0,367,999.678018
-3394.0,367,1004.265596
-3606.0,368,1012.985573
-3276.0,367,1017.558945
-3398.0,367,1022.126786
-3492.0,367,1026.687133
-3535.0,367,1031.239347
-3682.0,367,1039.940917
-3362.0,367,1044.535523
-3433.0,367,1049.112865
-3378.0,367,1063.252876
-3504.0,367,1067.823632
-3296.0,368,1072.409693
-3480.0,367,1081.107934
-3670.0,367,1085.685644
-3351.0,368,1090.265801
-3567.0,367,1094.849592
-3652.0,367,1099.419772
-3739.0,368,1104.017266
-3641.0,367,1112.737604
-3581.0,367,1126.849371
-3552.0,367,1131.441457
-3535.0,367,1136.035261
-3854.0,368,1140.65858
-3670.0,368,1149.397159
-3697.0,367,1153.988214
-3438.0,367,1158.564095
-3440.0,367,1163.138186
-3317.0,367,1167.736725
-3378.0,368,1172.290593
-3942.0,368,1190.635486
-3463.0,367,1195.271128
-3432.0,367,1199.838503
-3478.0,367,1204.409776
-3429.0,367,1209.101512
-3444.0,367,1218.468787
-3309.0,367,1223.050351
-3645.0,367,1227.661138
-3391.0,367,1232.237175
-3603.0,367,1236.812127
-3642.0,367,1241.404225
-3491.0,367,1259.709097
-3495.0,367,1264.26666
-3731.0,368,1268.823957
-3478.0,367,1273.383858
-3633.0,367,1277.943834
-3883.0,367,1282.537631
-3652.0,367,1291.288951
-3948.0,367,1295.871481
-3557.0,367,1300.442743
-3444.0,367,1305.008207
-3403.0,367,1319.151881
-3547.0,367,1327.822808
-3483.0,367,1332.401752
-3529.0,368,1336.956729
-3693.0,367,1341.507714
-3584.0,367,1346.089399
-3448.0,367,1350.661942
-3565.0,367,1359.407621
-3653.0,367,1363.968924
-3743.0,367,1368.548055
-3484.0,368,1382.708895
-3648.0,367,1387.278331
