#{"t_start": 1746325792.8528664, "env_id": "None"}
r,l,t
-9529.0,369,7.015803
-8792.0,369,12.167293
-9183.0,369,15.896257
-9267.0,378,24.054017
-8124.0,369,30.546068
-7673.0,368,42.317295
-7454.0,367,46.851589
-7899.0,370,51.358579
-10826.0,369,56.473741
-8247.0,368,61.490863
-7233.0,369,78.30973
-8017.0,368,88.511847
-11975.0,368,93.547338
-7929.0,369,98.187787
-9420.0,369,103.433944
-8669.0,367,108.12291
-9649.0,368,118.526554
-7784.0,368,123.888611
-7331.0,368,129.125453
-7701.0,369,134.245315
-10536.0,368,149.622375
-10610.0,371,154.604991
-6439.0,371,163.754512
-8908.0,369,168.744696
-11895.0,371,173.795415
-13419.0,369,178.767974
-8057.0,369,184.297903
-8903.0,369,194.223141
-10873.0,369,199.436068
-7993.0,368,204.773996
-8371.0,369,222.177789
-7295.0,370,226.96259
-7725.0,376,233.051158
-9013.0,368,244.671153
-8818.0,369,249.595538
-8738.0,369,255.058827
-8692.0,368,260.55418
-9002.0,370,266.03379
-9455.0,372,277.5893
-9762.0,370,283.084728
-8855.0,373,300.011276
-11479.0,369,305.157251
-7330.0,369,309.678025
-8528.0,370,315.193563
-7790.0,370,325.678054
-6509.0,368,330.775504
-7598.0,368,335.804291
-8082.0,368,340.922002
-9383.0,369,345.977155
-7446.0,368,356.250985
-7638.0,368,373.305164
-6264.0,367,378.582927
-9679.0,368,383.964008
-6668.0,369,389.185825
-7580.0,373,394.339529
-6956.0,370,405.034647
-6929.0,368,410.201197
-6389.0,371,415.396308
-7572.0,373,421.230375
-6299.0,369,426.411675
-7088.0,370,447.889758
-6270.0,369,452.946033
-5531.0,370,457.391297
-6799.0,371,462.418522
-8521.0,372,467.607048
-6356.0,370,472.713925
-5796.0,370,483.022795
-5623.0,370,488.280825
-5508.0,369,493.336505
-6093.0,371,498.394912
-6707.0,368,503.476267
-7779.0,367,520.251258
-5081.0,368,530.976567
-6130.0,370,536.067603
-5183.0,368,541.108281
-4762.0,368,546.777783
-4885.0,368,552.465163
-4793.0,367,562.70408
-4170.0,369,567.679699
-4673.0,368,573.180474
-4448.0,370,578.645214
-4659.0,369,595.548087
-4264.0,368,600.727186
-4081.0,369,610.756927
-4182.0,368,615.85374
-4293.0,367,620.965494
-4439.0,367,626.020288
-4085.0,369,630.936887
-4104.0,369,640.902575
-3868.0,368,646.017266
-4451.0,367,651.519841
-4588.0,369,668.002303
-4288.0,371,673.105116
-4303.0,368,678.216176
-3989.0,368,688.633673
-3582.0,368,693.584551
-3739.0,368,698.584707
-4005.0,369,703.69646
-3974.0,368,709.233471
-3874.0,368,719.55785
-3861.0,369,724.734048
-4138.0,368,741.163723
-3639.0,368,746.314821
-4483.0,369,751.337534
-3730.0,368,756.145127
-3932.0,368,764.904151
-3565.0,368,769.505704
-3916.0,369,774.122444
-3934.0,369,778.856873
-3628.0,367,783.439862
-3495.0,369,792.222744
-3448.0,368,807.033444
-3426.0,368,811.580876
-3504.0,368,816.178673
-3672.0,368,820.777565
-3539.0,368,825.359765
-3159.0,368,834.146419
-3719.0,368,838.720963
-3445.0,367,843.302201
-3760.0,367,847.909682
-3378.0,368,852.493111
-3439.0,368,866.653231
-3663.0,368,875.446666
-3592.0,367,880.050152
-3771.0,368,884.627793
-3460.0,367,889.187716
-3351.0,368,893.776748
-3911.0,367,902.512807
-3583.0,368,907.100559
-3427.0,367,911.691145
-3484.0,369,916.263297
-3254.0,367,920.846641
-3503.0,367,935.280644
-3668.0,368,944.004428
-3570.0,367,948.605906
-4091.0,369,953.184768
-3465.0,368,957.755361
-3396.0,367,962.304707
-3410.0,367,971.000603
-3285.0,368,975.598349
-3601.0,368,980.210417
-3565.0,368,984.80058
-3615.0,368,999.019658
-3395.0,367,1003.607788
-3816.0,368,1012.324239
-3435.0,367,1016.90426
-3404.0,367,1021.470324
-3396.0,367,1026.026916
-3318.0,367,1030.580899
-3476.0,367,1039.265184
-3362.0,367,1043.87803
-3471.0,368,1048.459675
-3310.0,368,1062.596643
-3358.0,367,1067.166077
-3451.0,367,1071.752269
-3517.0,367,1080.45173
-3630.0,368,1085.032755
-3520.0,367,1089.612717
-3529.0,367,1094.188282
-3379.0,368,1098.762907
-3451.0,367,1103.355924
-3402.0,367,1112.080777
-3681.0,367,1126.191598
-3551.0,367,1130.783499
-3691.0,367,1135.383986
-3533.0,368,1139.999613
-3594.0,367,1148.726425
-3674.0,367,1153.330873
-3436.0,367,1157.908056
-3491.0,367,1162.478956
-3744.0,367,1167.079509
-3626.0,367,1171.631848
-3552.0,368,1180.4182
-3383.0,367,1194.597463
-3278.0,367,1199.167755
-3479.0,367,1203.737006
-3775.0,367,1208.430496
-3510.0,368,1217.811846
-3534.0,367,1222.392262
-3646.0,367,1226.988755
-3539.0,367,1231.581379
-3647.0,367,1236.153567
-3642.0,367,1240.745677
-3318.0,367,1259.051882
-3571.0,367,1263.612296
-3425.0,367,1268.164235
-3479.0,367,1272.727563
-3491.0,367,1277.288547
-3882.0,367,1281.882417
-3593.0,367,1290.613872
-3405.0,367,1295.214134
-3557.0,367,1299.78607
-3325.0,368,1304.353122
-3403.0,367,1318.492791
-3651.0,367,1327.166839
-3484.0,367,1331.74484
-3881.0,367,1336.300474
-3693.0,367,1340.849915
-3576.0,367,1345.432933
-3449.0,367,1350.003831
-3638.0,367,1358.753242
-3343.0,367,1363.313607
-3744.0,367,1367.876161
-3546.0,367,1382.034489
-3501.0,367,1386.608502
