#{"t_start": 1746325792.8545902, "env_id": "None"}
r,l,t
-8483.0,370,7.64048
-7092.0,368,12.163549
-7376.0,369,15.894533
-9171.0,368,22.644606
-9383.0,368,29.218509
-9202.0,370,41.028216
-12018.0,369,46.190082
-11512.0,374,50.711697
-8612.0,369,55.829355
-11423.0,368,60.849931
-9931.0,367,77.655116
-10614.0,375,89.13463
-8403.0,368,94.169635
-7652.0,370,98.821895
-10682.0,371,104.092361
-8105.0,368,108.783026
-8948.0,367,119.811262
-7107.0,367,124.538421
-9731.0,369,129.788062
-6829.0,369,134.899665
-7578.0,368,150.254838
-8669.0,370,155.243484
-11454.0,370,164.393262
-7780.0,370,170.048613
-6582.0,370,175.038055
-6539.0,370,180.014573
-7975.0,370,184.957357
-7291.0,367,194.854591
-9232.0,369,200.06197
-7047.0,371,205.4159
-6995.0,370,222.855623
-7176.0,368,227.629826
-9356.0,369,232.398548
-11180.0,368,244.024738
-8721.0,369,248.940313
-11296.0,368,254.408116
-10260.0,368,259.900856
-9272.0,368,265.360801
-11425.0,368,276.881924
-10495.0,371,282.393908
-11403.0,370,298.710312
-8212.0,368,303.849232
-7997.0,368,308.981368
-7511.0,369,314.476206
-8721.0,369,324.961451
-6193.0,370,330.073836
-8341.0,369,335.114047
-10594.0,370,340.239269
-8198.0,367,345.287964
-9514.0,369,355.532105
-8748.0,368,372.590972
-8091.0,369,377.899668
-6984.0,370,383.299688
-7587.0,369,388.518727
-6651.0,369,393.658028
-7678.0,370,404.353195
-5940.0,370,409.526859
-7723.0,371,414.63116
-7439.0,369,419.929453
-6381.0,368,425.082032
-6679.0,369,441.333289
-5178.0,369,451.617348
-7548.0,367,456.659141
-7775.0,368,461.062602
-8182.0,371,466.243193
-8189.0,369,471.334717
-6217.0,367,481.633085
-6218.0,369,486.875867
-6797.0,369,491.953323
-5140.0,369,496.986738
-5243.0,373,502.084044
-6547.0,371,518.845712
-5112.0,370,529.620106
-5745.0,369,534.716937
-4709.0,367,539.741286
-4261.0,369,545.357829
-4364.0,369,551.037103
-3933.0,368,561.363197
-5782.0,368,566.312484
-3693.0,369,571.808655
-5405.0,368,577.247463
-4939.0,369,594.183946
-4893.0,369,599.392881
-4276.0,369,609.422891
-4159.0,367,614.504401
-4824.0,368,619.631454
-4589.0,369,624.693026
-4022.0,368,629.608528
-3788.0,368,639.568151
-4031.0,368,644.685359
-4604.0,367,650.112923
-4539.0,368,666.639421
-4128.0,369,671.720615
-4714.0,369,676.874066
-3881.0,368,687.270137
-3892.0,367,692.236004
-3931.0,369,697.229345
-3921.0,370,702.323717
-3984.0,368,707.800345
-3991.0,369,718.223377
-3588.0,368,723.389639
-4030.0,369,739.806471
-3639.0,368,744.945474
-4070.0,368,749.98211
-4026.0,368,754.818173
-3810.0,369,763.568511
-3362.0,368,768.175408
-3904.0,369,772.785339
-3991.0,369,777.523786
-4022.0,367,782.122239
-3602.0,367,786.754852
-3444.0,367,805.687878
-3451.0,368,810.2529
-3437.0,367,814.83219
-3559.0,367,819.422007
-3761.0,369,824.010215
-3485.0,368,832.80069
-3468.0,368,837.37834
-3478.0,368,841.959385
-3919.0,368,846.565251
-3653.0,369,851.16116
-3601.0,368,855.755345
-3950.0,368,874.110745
-3701.0,368,878.71811
-3368.0,368,883.295684
-3267.0,368,887.874283
-3445.0,368,892.446505
-3399.0,368,901.192938
-3336.0,367,905.78029
-4022.0,368,910.361948
-4187.0,368,914.946604
-3484.0,367,919.5267
-3766.0,367,933.95913
-3633.0,368,942.692385
-3868.0,367,947.279359
-3368.0,367,951.853873
-3533.0,367,956.425023
-3319.0,368,960.979517
-3711.0,368,969.683828
-3473.0,368,974.261521
-3703.0,368,978.876173
-3831.0,367,983.469207
-3676.0,367,997.685877
-3436.0,367,1002.264786
-3621.0,367,1010.969439
-3497.0,367,1015.552972
-3690.0,367,1020.12687
-3201.0,367,1024.683479
-3344.0,367,1029.252608
-3607.0,367,1033.8128
-3407.0,367,1042.548182
-3548.0,368,1047.110386
-3522.0,367,1061.250602
-3311.0,367,1065.830757
-3517.0,367,1070.395599
-3614.0,367,1079.104949
-3340.0,367,1083.681944
-3352.0,367,1088.264453
-3564.0,367,1092.840791
-3511.0,367,1097.399492
-3709.0,367,1101.989355
-3491.0,368,1110.737811
-3653.0,368,1124.839013
-3676.0,367,1129.438331
-3812.0,367,1134.028236
-3402.0,368,1138.649349
-3431.0,367,1147.378084
-3305.0,367,1152.001881
-3523.0,367,1156.558095
-3356.0,367,1161.135472
-3747.0,367,1165.710283
-3472.0,367,1170.301105
-3563.0,367,1179.067681
-3487.0,367,1193.249756
-3471.0,368,1197.825638
-3633.0,367,1202.387374
-3297.0,369,1207.088709
-3501.0,367,1216.477772
-3612.0,368,1221.069514
-3557.0,367,1225.639948
-3343.0,367,1230.234864
-3446.0,367,1234.819525
-3347.0,367,1239.40064
-3346.0,367,1257.705559
-3563.0,367,1262.275918
-3409.0,367,1266.838856
-3584.0,367,1271.396816
-3372.0,368,1275.969086
-3376.0,367,1280.562526
-3551.0,367,1289.297201
-3572.0,368,1293.880458
-3849.0,368,1298.467359
-3747.0,367,1303.036629
-3603.0,367,1317.172942
-3763.0,368,1325.850249
-3404.0,367,1330.427965
-3437.0,367,1334.986677
-3618.0,367,1339.533028
-3360.0,367,1344.115708
-3646.0,367,1348.6834
-3563.0,367,1357.436438
-3427.0,367,1361.999092
-3811.0,367,1366.564275
-3594.0,367,1380.706071
-3589.0,367,1385.293026
